COUNTY CODE,COUNTY NAME,DISTRICT CODE,DISTRICT NAME,SCHOOL CODE,SCHOOL NAME,TOTAL,TEACHER FTE,PUPIL/TEACHER RATIO
01,ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,616,31.15,19.77
01,ADAMS,0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,220,14.00,15.71
01,ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,600,33.00,18.18
01,ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,379,18.00,21.06
01,ADAMS,0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,471,24.50,19.22
01,ADAMS,0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,514,29.09,17.67
01,ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,748,44.00,17.00
01,ADAMS,0010,MAPLETON 1,0504,WELBY MONTESSORI SCHOOL,284,18.00,15.78
01,ADAMS,0010,MAPLETON 1,0505,ACHIEVE ACADEMY,520,32.27,16.12
01,ADAMS,0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,425,21.50,19.77
01,ADAMS,0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,415,26.00,15.96
01,ADAMS,0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,484,26.80,18.06
01,ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,"2,161",55.38,39.02
01,ADAMS,0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,88,4.59,19.17
01,ADAMS,0010,MAPLETON 1,9036,VALLEY VIEW K-8,483,23.00,21.00
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,531,28.00,18.96
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,"1,866",87.21,21.40
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,"1,160",57.35,20.23
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0059,MERIDIAN ELEMENTARY SCHOOL,689,33.10,20.82
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,302,26.94,11.21
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,632,31.50,20.06
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1388,CENTENNIAL ELEMENTARY SCHOOL,435,23.00,18.91
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL,"1,053",52.20,20.17
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,648,35.94,18.03
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),"2,672",71.21,37.52
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1878,CORONADO HILLS ELEMENTARY SCHOOL,528,29.30,18.02
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1914,COTTON CREEK ELEMENTARY SCHOOL,608,32.00,19.00
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1937,COYOTE RIDGE ELEMENTARY SCHOOL,542,26.00,20.85
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2361,EAGLEVIEW ELEMENTARY SCHOOL,632,31.50,20.06
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2410,TARVER ELEMENTARY SCHOOL,461,23.60,19.53
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2576,CHERRY DRIVE ELEMENTARY SCHOOL,434,22.40,19.38
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2578,SKYVIEW ELEMENTARY SCHOOL,517,25.80,20.04
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2580,HUNTERS GLEN ELEMENTARY SCHOOL,526,25.50,20.63
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2582,ROCKY MOUNTAIN ELEMENTARY SCHOOL,469,26.85,17.47
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2584,RIVERDALE ELEMENTARY SCHOOL,418,21.50,19.44
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2918,FEDERAL HEIGHTS ELEMENTARY SCHOOL,581,32.50,17.88
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,3439,GLOBAL VILLAGE ACADEMY,758,37.63,20.15
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4000,HILLCREST ELEMENTARY SCHOOL,463,28.00,16.54
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HIGH SCHOOL,"1,970",92.87,21.21
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM OPTIONS K-8 SCHOOL,722,38.50,18.75
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4187,SILVER HILLS MIDDLE SCHOOL,"1,089",56.83,19.16
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH SCHOOL,"2,171",96.77,22.44
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5058,LEROY DRIVE ELEMENTARY SCHOOL,396,23.75,16.67
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5418,MALLEY DRIVE ELEMENTARY SCHOOL,448,25.45,17.60
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5706,MC ELWAIN ELEMENTARY SCHOOL,443,26.50,16.72
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5814,THE INTERNATIONAL SCHOOL AT THORNTON MIDDLE,849,52.00,16.33
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5816,THORNTON HIGH SCHOOL,"1,774",88.26,20.10
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6060,MOUNTAIN RANGE HIGH SCHOOL,"1,962",93.97,20.88
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6150,MOUNTAIN VIEW ELEMENTARY SCHOOL,628,34.00,18.47
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6342,SHADOW RIDGE MIDDLE SCHOOL,995,49.20,20.22
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6355,NORTH MOR ELEMENTARY SCHOOL,410,22.60,18.14
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6376,NORTH STAR ELEMENTARY SCHOOL,456,27.00,16.89
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6398,NORTHGLENN MIDDLE SCHOOL,806,44.75,18.01
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6402,NORTHGLENN HIGH SCHOOL,"1,784",89.16,20.01
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6802,PROSPECT RIDGE ACADEMY,914,47.27,19.34
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6956,PATHWAYS FUTURE CENTER,357,7.14,49.98
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,7155,PRAIRIE HILLS ELEMENTARY SCHOOL,518,25.00,20.72
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,7795,SILVER CREEK ELEMENTARY,677,36.60,18.50
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,8211,THE STUDIO SCHOOL,297,16.90,17.57
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,8225,STELLAR ELEMENTARY SCHOOL,578,28.50,20.28
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,8275,STEM LAB,460,24.00,19.17
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,8310,STEM LAUNCH,773,48.50,15.94
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,8361,STUKEY ELEMENTARY SCHOOL,329,19.10,17.23
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,8842,THORNTON ELEMENTARY SCHOOL,393,23.00,17.09
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER,390,26.72,14.60
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9444,WESTLAKE MIDDLE SCHOOL,"1,067",56.00,19.05
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9494,WESTVIEW ELEMENTARY SCHOOL,418,25.33,16.50
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9682,WOODGLEN ELEMENTARY SCHOOL,392,21.00,18.67
01,ADAMS,0030,ADAMS COUNTY 14,0020,ADAMS CITY MIDDLE SCHOOL,774,45.00,17.20
01,ADAMS,0030,ADAMS COUNTY 14,0022,LESTER R ARNOLD HIGH SCHOOL,220,11.27,19.52
01,ADAMS,0030,ADAMS COUNTY 14,0024,ADAMS CITY HIGH SCHOOL,"1,749",84.76,20.63
01,ADAMS,0030,ADAMS COUNTY 14,0186,ALSUP ELEMENTARY SCHOOL,504,35.06,14.37
01,ADAMS,0030,ADAMS COUNTY 14,1426,CENTRAL ELEMENTARY SCHOOL,577,39.06,14.77
01,ADAMS,0030,ADAMS COUNTY 14,2308,DUPONT ELEMENTARY SCHOOL,699,42.50,16.45
01,ADAMS,0030,ADAMS COUNTY 14,4516,KEARNEY MIDDLE SCHOOL,783,40.06,19.54
01,ADAMS,0030,ADAMS COUNTY 14,4536,KEMP ELEMENTARY SCHOOL,587,34.21,17.16
01,ADAMS,0030,ADAMS COUNTY 14,5982,MONACO ELEMENTARY SCHOOL,501,31.77,15.77
01,ADAMS,0030,ADAMS COUNTY 14,6534,HANSON ELEMENTARY SCHOOL,461,27.96,16.49
01,ADAMS,0030,ADAMS COUNTY 14,7500,ROSE HILL ELEMENTARY SCHOOL,539,35.60,15.14
