County Name,Organization Code,Organization Name,All Students Final Grad Base,All Students Graduates Total,All Students Graduation Rate,All Students Completers Total,All Students Completion Rate,Female Final Grad Base,Females Graduates Total,Female Graduation Rate,Female Completers Total,Female Completion Rate,Male Final Grad Base, Male Graduates Total,Male Graduation Rate,Male Completers Total,Male Completion Rate,American Indian or Alaska Native Final Grad Base,American Indian or Alaska Native Graduates,American Indian or Alaska Native Graduation Rate,American Indian or Alaska Native Completers Total,American Indian or Alaska Native Completion Rate,American Indian or Alaska Native Female Final Grad Base,American Indian or Alaska Native Female Graduates,American Indian or Alaska Native Female Native Graduation Rate,American Indian or Alaska Native Female Completers Total,American Indian or Alaska Native Female Completion Rate,American Indian or Alaska Native Male Final Grad Base,American Indian or Alaska Native Male Graduates,American Indian or Alaska Native Male Graduation Rate,American Indian or Alaska Native Male Completers Total,American Indian or Alaska Native Male Completion Rate,Asian Final Grad Base,Asian Graduates,Asian Graduation Rate,Asian Completers Total,Asian Completion Rate,Asian Female Final Grad Base,Asian Female Graduates,Asian Female Graduation Rate,Asian Female Completers Total,Asian Female Completion Rate,Asian Male Final Grad Base,Asian Male Graduates,Asian Male Graduation Rate,Asian Male Completers Total,Asian Male Completion Rate,Black or African American Final Grad Base,Black or African American Graduates,Black or African American Graduation Rate,Black or African American Completers Total,Black or African American Completion Rate,Black or African American Female Final Grad Base,Black or African American Female Graduates,Black or African American Female Graduation Rate,Black or African American Female Completers Total,Black or African American Female Completion Rate,Black or African American Male Final Grad Base,Black or African American Male Graduates,Black or African American Male Graduation Rate,Black or African American Male Completers Total,Black or African American Male Completion Rate,Hispanic or Latino Final Grad Base,Hispanic or Latino Graduates,Hispanic or Latino Graduation Rate,Hispanic or Latino Completers Total,Hispanic or Latino Completion Rate,Hispanic or Latino Female Final Grad Base,Hispanic or Latino Female Graduates,Hispanic or Latino Female Graduation Rate,Hispanic or Latino Female Completers Total,Hispanic or Latino Female Completion Rate,Hispanic or Latino Male Final Grad Base,Hispanic or Latino Male Graduates,Hispanic or Latino Male Graduation Rate,Hispanic or Latino Male Completers Total,Hispanic or Latino Male Completion Rate,White Final Grad Base,White Graduates,White Graduation Rate,White Completers Total,White Completion Rate,White Female Final Grad Base,White Female Graduates,White Female Graduation Rate,White Female Completers Total,White Female Completion Rate,White Male Final Grad Base,White Male Graduates,White Male Graduation Rate,White Male Completers Total,White Male Completion Rate,Native Hawaiian or Other Pacific Islander Grad Base,Native Hawaiian or Other Pacific Islander Graduates,Native Hawaiian or Other Pacific Islander Graduation Rate,Native Hawaiian or Other Pacific Islander Completers Total,Native Hawaiian or Other Pacific Islander Completion Rate,Native Hawaiian or Other Pacific Islander Female Grad Base,Native Hawaiian or Other Pacific Islander Female Graduates,Native Hawaiian or Other Pacific Islander Female Graduation Rate,Native Hawaiian or Other Pacific Islander Female Completers Total,Native Hawaiian or Other Pacific Islander Female Completion Rate,Native Hawaiian or Other Pacific Islander Male Grad Base,Native Hawaiian or Other Pacific Islander Male Graduates,Native Hawaiian or Other Pacific Islander Male Graduation Rate,Native Hawaiian or Other Pacific Islander Male Completers Total,Native Hawaiian or Other Pacific Islander Male Completion Rate,Two or More Races Final Grad Base,Two or More Races Graduates,Two or More Races Graduation Rate,Two or More Races Completers Total,Two or More Races Completion Rate,Two or More Races Female Final Grad Base,Two or More Races Female Graduates,Two or More Races Female Graduation Rate,Two or More Races Female Completers Total,Two or More Races Female Completion Rate,Two or More Races Male Final Grad Base,Two or More Races Male Graduates,Two or More Races Male Graduation Rate,Two or More Races Male Completers Total,Two or More Races Male Completion Rate
ADAMS,0010,MAPLETON 1,577,276,47.8%,291,50.4%,291,162,55.7%,172,59.1%,286,114,39.9%,119,41.6%,6,4,66.7%,4,66.7%,4,4,100.0%,4,100.0%,2,0,0.0%,0,0.0%,7,3,42.9%,3,42.9%,4,2,50.0%,2,50.0%,3,1,33.3%,1,33.3%,9,8,88.9%,8,88.9%,6,6,100.0%,6,100.0%,3,2,66.7%,2,66.7%,363,151,41.6%,158,43.5%,175,87,49.7%,92,52.6%,188,64,34.0%,66,35.1%,182,103,56.6%,109,59.9%,97,60,61.9%,63,64.9%,85,43,50.6%,46,54.1%,1,0,0.0%,1,100.0%,1,0,0.0%,1,100.0%,0,0,0.0%,0,0.0%,9,7,77.8%,8,88.9%,4,3,75.0%,4,100.0%,5,4,80.0%,4,80.0%
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,"2,974","2,192",73.7%,"2,266",76.2%,"1,479","1,124",76.0%,"1,155",78.1%,"1,495","1,068",71.4%,"1,111",74.3%,28,18,64.3%,19,67.9%,15,9,60.0%,9,60.0%,13,9,69.2%,10,76.9%,164,151,92.1%,153,93.3%,77,72,93.5%,74,96.1%,87,79,90.8%,79,90.8%,73,49,67.1%,54,74.0%,35,24,68.6%,26,74.3%,38,25,65.8%,28,73.7%,953,667,70.0%,682,71.6%,470,341,72.6%,347,73.8%,483,326,67.5%,335,69.4%,"1,729","1,289",74.6%,"1,338",77.4%,866,665,76.8%,686,79.2%,863,624,72.3%,652,75.6%,3,1,33.3%,1,33.3%,3,1,33.3%,1,33.3%,0,0,0.0%,0,0.0%,24,17,70.8%,19,79.2%,13,12,92.3%,12,92.3%,11,5,45.5%,7,63.6%
ADAMS,0030,ADAMS COUNTY 14,524,311,59.4%,319,60.9%,263,169,64.3%,172,65.4%,261,142,54.4%,147,56.3%,5,4,80.0%,4,80.0%,2,2,100.0%,2,100.0%,3,2,66.7%,2,66.7%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,8,5,62.5%,5,62.5%,0,0,0.0%,0,0.0%,8,5,62.5%,5,62.5%,441,267,60.5%,272,61.7%,231,147,63.6%,150,64.9%,210,120,57.1%,122,58.1%,70,35,50.0%,38,54.3%,30,20,66.7%,20,66.7%,40,15,37.5%,18,45.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%
ADAMS,0040,SCHOOL DISTRICT 27J,952,754,79.2%,779,81.8%,466,401,86.1%,408,87.6%,486,353,72.6%,371,76.3%,4,2,50.0%,2,50.0%,0,0,0.0%,0,0.0%,4,2,50.0%,2,50.0%,38,35,92.1%,36,94.7%,17,17,100.0%,17,100.0%,21,18,85.7%,19,90.5%,25,20,80.0%,21,84.0%,16,14,87.5%,14,87.5%,9,6,66.7%,7,77.8%,400,291,72.8%,305,76.3%,194,154,79.4%,158,81.4%,206,137,66.5%,147,71.4%,466,391,83.9%,400,85.8%,229,207,90.4%,210,91.7%,237,184,77.6%,190,80.2%,5,3,60.0%,3,60.0%,2,2,100.0%,2,100.0%,3,1,33.3%,1,33.3%,14,12,85.7%,12,85.7%,8,7,87.5%,7,87.5%,6,5,83.3%,5,83.3%
ADAMS,0050,BENNETT 29J,70,59,84.3%,59,84.3%,34,30,88.2%,30,88.2%,36,29,80.6%,29,80.6%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,1,1,100.0%,1,100.0%,0,0,0.0%,0,0.0%,1,1,100.0%,1,100.0%,9,9,100.0%,9,100.0%,7,7,100.0%,7,100.0%,2,2,100.0%,2,100.0%,58,48,82.8%,48,82.8%,25,22,88.0%,22,88.0%,33,26,78.8%,26,78.8%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,2,1,50.0%,1,50.0%,2,1,50.0%,1,50.0%,0,0,0.0%,0,0.0%
ADAMS,0060,STRASBURG 31J,65,53,81.5%,54,83.1%,31,26,83.9%,26,83.9%,34,27,79.4%,28,82.4%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,2,2,100.0%,2,100.0%,1,1,100.0%,1,100.0%,1,1,100.0%,1,100.0%,1,1,100.0%,1,100.0%,0,0,0.0%,0,0.0%,1,1,100.0%,1,100.0%,8,7,87.5%,7,87.5%,4,3,75.0%,3,75.0%,4,4,100.0%,4,100.0%,54,43,79.6%,44,81.5%,26,22,84.6%,22,84.6%,28,21,75.0%,22,78.6%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%
ADAMS,0070,WESTMINSTER 50,616,394,64.0%,402,65.3%,308,219,71.1%,225,73.1%,308,175,56.8%,177,57.5%,4,1,25.0%,1,25.0%,2,0,0.0%,0,0.0%,2,1,50.0%,1,50.0%,46,38,82.6%,38,82.6%,26,24,92.3%,24,92.3%,20,14,70.0%,14,70.0%,12,6,50.0%,6,50.0%,3,1,33.3%,1,33.3%,9,5,55.6%,5,55.6%,413,259,62.7%,263,63.7%,212,151,71.2%,154,72.6%,201,108,53.7%,109,54.2%,131,84,64.1%,88,67.2%,58,40,69.0%,43,74.1%,73,44,60.3%,45,61.6%,2,1,50.0%,1,50.0%,1,0,0.0%,0,0.0%,1,1,100.0%,1,100.0%,8,5,62.5%,5,62.5%,6,3,50.0%,3,50.0%,2,2,100.0%,2,100.0%
ALAMOSA,0100,ALAMOSA RE-11J,139,113,81.3%,119,85.6%,61,51,83.6%,54,88.5%,78,62,79.5%,65,83.3%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,4,4,100.0%,4,100.0%,1,1,100.0%,1,100.0%,3,3,100.0%,3,100.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,67,53,79.1%,56,83.6%,28,23,82.1%,24,85.7%,39,30,76.9%,32,82.1%,68,56,82.4%,59,86.8%,32,27,84.4%,29,90.6%,36,29,80.6%,30,83.3%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%
ALAMOSA,0110,SANGRE DE CRISTO RE-22J,21,20,95.2%,20,95.2%,11,10,90.9%,10,90.9%,10,10,100.0%,10,100.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,4,4,100.0%,4,100.0%,2,2,100.0%,2,100.0%,2,2,100.0%,2,100.0%,15,14,93.3%,14,93.3%,9,8,88.9%,8,88.9%,6,6,100.0%,6,100.0%,2,2,100.0%,2,100.0%,0,0,0.0%,0,0.0%,2,2,100.0%,2,100.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%
ARAPAHOE,0120,ENGLEWOOD 1,300,165,55.0%,180,60.0%,145,92,63.4%,98,67.6%,155,73,47.1%,82,52.9%,3,2,66.7%,2,66.7%,0,0,0.0%,0,0.0%,3,2,66.7%,2,66.7%,3,2,66.7%,2,66.7%,2,2,100.0%,2,100.0%,1,0,0.0%,0,0.0%,12,3,25.0%,4,33.3%,4,2,50.0%,2,50.0%,8,1,12.5%,2,25.0%,89,40,44.9%,43,48.3%,40,21,52.5%,21,52.5%,49,19,38.8%,22,44.9%,188,117,62.2%,128,68.1%,97,66,68.0%,72,74.2%,91,51,56.0%,56,61.5%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,5,1,20.0%,1,20.0%,2,1,50.0%,1,50.0%,3,0,0.0%,0,0.0%
