District Code,District Name,T_Ind_F,T_Ind_M,T_Ind_T,T_As_F,T_As_M,T_As_T,T_Bl_F,T_Bl_M,T_Bl_T,T_Hi_F,T_Hi_M,T_Hi_T,T_Pac_F,T_Pac_M,T_Pac_T,T_Two_F,T_Two_M,T_Two_T,T_Whi_F,T_Whi_M,T_Whi_T,T_Total_Count
0010,MAPLETON 1,0,0,0,5,0,5,2,1,3,28,8,36,299,76,375,4,0,4,0,0,0,423
0020,ADAMS 12 FIVE STAR SCHOOLS,4,1,5,29,6,35,6,1,7,117,47,164,"1,432",410,"1,842",1,0,1,10,4,14,"2,068"
0030,ADAMS COUNTY 14,1,1,2,8,0,8,5,1,6,28,12,40,266,78,344,1,0,1,4,1,5,406
0040,BRIGHTON 27J,0,1,1,7,4,11,1,4,5,68,22,90,533,169,702,1,0,1,4,0,4,814
0050,BENNETT 29J,0,0,0,0,1,1,1,0,1,0,0,0,39,11,50,0,0,0,0,0,0,52
0060,STRASBURG 31J,0,0,0,0,0,0,0,0,0,0,0,0,48,14,62,0,0,0,0,0,0,62
0070,WESTMINSTER 50,0,0,0,8,3,11,1,3,4,53,20,73,343,105,448,0,0,0,5,2,7,543
0100,ALAMOSA RE-11J,0,0,0,0,0,0,0,0,0,33,9,42,57,19,76,0,0,0,0,1,1,119
0110,SANGRE DE CRISTO RE-22J,0,0,0,0,0,0,0,0,0,1,1,2,18,6,24,0,0,0,1,0,1,27
0120,ENGLEWOOD 1,0,0,0,0,0,0,0,0,0,4,1,5,153,36,189,0,0,0,0,0,0,194
0123,SHERIDAN 2,0,0,0,1,0,1,1,0,1,8,2,10,62,19,81,0,0,0,0,0,0,93
0130,CHERRY CREEK 5,6,1,7,38,8,46,56,25,81,142,43,185,"2,069",691,"2,760",1,0,1,51,18,69,"3,149"
0140,LITTLETON 6,1,0,1,4,1,5,2,2,4,31,6,37,632,191,823,0,0,0,4,1,5,875
0170,DEER TRAIL 26J,0,0,0,0,0,0,0,0,0,0,0,0,16,3,19,0,0,0,0,0,0,19
0180,ADAMS-ARAPAHOE 28J,3,1,4,45,10,55,52,24,76,144,51,195,"1,395",430,"1,825",49,8,57,30,4,34,"2,246"
0190,BYERS 32J,0,0,0,0,0,0,0,0,0,0,0,0,64,17,81,0,0,0,0,0,0,81
0220,ARCHULETA COUNTY 50 JT,0,0,0,0,0,0,0,0,0,6,1,7,55,25,80,0,0,0,0,0,0,87
