County Code,County Name,Organization Code,Orgnazation Name,Total FTE,Average Salary
01,ADAMS,0010,MAPLETON 1,414.5,"$48,384.24"
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,"1,998.3","$51,781.52"
01,ADAMS,0030,ADAMS COUNTY 14,402.3,"$49,905.46"
01,ADAMS,0040,BRIGHTON 27J,831.4,"$47,932.68"
01,ADAMS,0050,BENNETT 29J,52.4,"$37,742.28"
01,ADAMS,0060,STRASBURG 31J,59.6,"$40,263.94"
01,ADAMS,0070,WESTMINSTER 50,534.8,"$54,839.88"
02,ALAMOSA,0100,ALAMOSA RE-11J,118.3,"$45,180.91"
02,ALAMOSA,0110,SANGRE DE CRISTO RE-22J,27.1,"$34,341.33"
03,ARAPAHOE,0120,ENGLEWOOD 1,186.0,"$53,004.72"
03,ARAPAHOE,0123,SHERIDAN 2,86.9,"$47,769.53"
03,ARAPAHOE,0130,CHERRY CREEK 5,"3,039.1","$64,839.96"
03,ARAPAHOE,0140,LITTLETON 6,843.8,"$60,413.52"
03,ARAPAHOE,0170,DEER TRAIL 26J,18.8,"$36,874.81"
03,ARAPAHOE,0180,ADAMS-ARAPAHOE 28J,"2,236.3","$48,704.42"
03,ARAPAHOE,0190,BYERS 32J,71.6,"$41,179.04"
04,ARCHULETA,0220,ARCHULETA COUNTY 50 JT,84.6,"$43,048.25"
05,BACA,0230,WALSH RE-1,16.5,"$32,130.26"
05,BACA,0240,PRITCHETT RE-3,12.8,"$18,103.61"
05,BACA,0250,SPRINGFIELD RE-4,34.1,"$28,648.32"
05,BACA,0260,VILAS RE-5,10.6,"$34,014.76"
05,BACA,0270,CAMPO RE-6,9.8,"$30,984.00"
06,BENT,0290,LAS ANIMAS RE-1,34.2,"$36,384.08"
06,BENT,0310,MC CLAVE RE-2,22.3,"$37,244.56"
07,BOULDER,0470,ST VRAIN VALLEY RE 1J,"1,694.3","$48,975.75"
07,BOULDER,0480,BOULDER VALLEY RE 2,"1,676.6","$65,410.92"
08,CHAFFEE,0490,BUENA VISTA R-31,64.1,"$41,978.63"
08,CHAFFEE,0500,SALIDA R-32,73.7,"$42,338.38"
09,CHEYENNE,0510,KIT CARSON R-1,17.9,"$30,627.63"
09,CHEYENNE,0520,CHEYENNE COUNTY RE-5,18.0,"$35,727.35"
10,CLEAR CREEK,0540,CLEAR CREEK RE-1,61.0,"$39,694.95"
11,CONEJOS,0550,NORTH CONEJOS RE-1J,71.1,"$40,068.78"
11,CONEJOS,0560,SANFORD 6J,26.5,"$39,415.53"
11,CONEJOS,0580,SOUTH CONEJOS RE-10,22.1,"$36,720.14"
12,COSTILLA,0640,CENTENNIAL R-1,20.8,"$31,233.31"
12,COSTILLA,0740,SIERRA GRANDE R-30,21.6,"$39,734.76"
13,CROWLEY,0770,CROWLEY COUNTY RE-1-J,30.8,"$34,362.14"
14,CUSTER,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,31.3,"$35,549.09"
15,DELTA,0870,DELTA COUNTY 50(J),283.4,"$37,019.11"
16,DENVER,0880,DENVER COUNTY 1,"5,849.9","$43,508.20"
17,DOLORES,0890,DOLORES COUNTY RE NO.2,24.8,"$34,505.10"
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,"3,388.0","$50,165.00"
19,EAGLE,0910,EAGLE COUNTY RE 50,433.3,"$46,339.15"
20,ELBERT,0920,ELIZABETH C-1,150.2,"$37,312.62"
20,ELBERT,0930,KIOWA C-2,27.2,"$33,894.25"
20,ELBERT,0940,BIG SANDY 100J,26.5,"$36,255.20"
20,ELBERT,0950,ELBERT 200,19.3,"$34,241.26"
20,ELBERT,0960,AGATE 300,2.2,"$35,690.28"
21,EL PASO,0970,CALHAN RJ-1,31.4,"$36,077.07"
21,EL PASO,0980,HARRISON 2,679.4,"$41,654.45"
21,EL PASO,0990,WIDEFIELD 3,522.4,"$43,995.76"
21,EL PASO,1000,FOUNTAIN 8,505.4,"$46,941.89"
