County Code,County Name,District Code,District Name,School  Code,School Name,PK-12 Student Enrollment,Teacher FTE,Pupil/Teacher Ratio,,,,,,,,,,,,,
01,ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,650,32.00,20.31,,,,,,,,,,,,,
01,ADAMS,0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,273,16.00,17.06,,,,,,,,,,,,,
01,ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,646,37.50,17.23,,,,,,,,,,,,,
01,ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,404,17.00,23.76,,,,,,,,,,,,,
01,ADAMS,0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,488,28.50,17.12,,,,,,,,,,,,,
01,ADAMS,0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,508,26.50,19.17,,,,,,,,,,,,,
01,ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,734,45.50,16.13,,,,,,,,,,,,,
01,ADAMS,0010,MAPLETON 1,0504,WELBY COMMUNITY SCHOOL,266,20.00,13.30,,,,,,,,,,,,,
01,ADAMS,0010,MAPLETON 1,0505,ACHIEVE ACADEMY,520,32.50,16.00,,,,,,,,,,,,,
01,ADAMS,0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,426,22.60,18.85,,,,,,,,,,,,,
01,ADAMS,0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,399,28.00,14.25,,,,,,,,,,,,,
01,ADAMS,0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,473,28.08,16.84,,,,,,,,,,,,,
01,ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,2420,47.64,50.80,,,,,,,,,,,,,
01,ADAMS,0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,72,4.25,16.94,,,,,,,,,,,,,
01,ADAMS,0010,MAPLETON 1,9036,VALLEY VIEW K-8,452,23.60,19.15,,,,,,,,,,,,,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,513,27.50,18.65,,,,,,,,,,,,,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,1356,68.15,19.90,,,,,,,,,,,,,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0059,MERIDIAN ELEMENTARY SCHOOL,771,38.45,20.05,,,,,,,,,,,,,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0070,ADAMS12 FIVE STAR PRESCHOOL,1052,11.50,91.48,,,,,,,,,,,,,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,279,25.24,11.05,,,,,,,,,,,,,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,634,32.50,19.51,,,,,,,,,,,,,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1388,CENTENNIAL ELEMENTARY SCHOOL,422,24.75,17.05,,,,,,,,,,,,,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL,1062,55.35,19.19,,,,,,,,,,,,,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,837,41.97,19.94,,,,,,,,,,,,,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1878,CORONADO HILLS ELEMENTARY SCHOOL,527,31.00,17.00,,,,,,,,,,,,,
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1914,COTTON CREEK ELEMENTARY SCHOOL,618,33.50,18.45,,,,,,,,,,,,,
