County Code,County Name,Organization Code,Orgnazation Name,Total FTE,Average Salary
01,ADAMS,0010,MAPLETON 1,422.95,"49,527.57"
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,"2,063.74","57,561.38"
01,ADAMS,0030,ADAMS COUNTY 14,387.86,"52,461.61"
01,ADAMS,0040,BRIGHTON 27J,823.85,"49,198.65"
01,ADAMS,0050,BENNETT 29J,54.89,"38,883.72"
01,ADAMS,0060,STRASBURG 31J,54.15,"42,701.05"
01,ADAMS,0070,WESTMINSTER 50,493.10,"59,040.02"
02,ALAMOSA,0100,ALAMOSA RE-11J,124.81,"47,571.90"
02,ALAMOSA,0110,SANGRE DE CRISTO RE-22J,26.49,"36,887.92"
03,ARAPAHOE,0120,ENGLEWOOD 1,180.74,"52,439.25"
03,ARAPAHOE,0123,SHERIDAN 2,95.25,"50,503.29"
03,ARAPAHOE,0130,CHERRY CREEK 5,"3,043.82","67,939.69"
03,ARAPAHOE,0140,LITTLETON 6,843.48,"64,738.93"
03,ARAPAHOE,0170,DEER TRAIL 26J,12.04,"38,763.34"
03,ARAPAHOE,0180,ADAMS-ARAPAHOE 28J,"2,288.12","54,230.20"
03,ARAPAHOE,0190,BYERS 32J,72.40,"38,767.04"
04,ARCHULETA,0220,ARCHULETA COUNTY 50 JT,84.14,"43,407.47"
05,BACA,0230,WALSH RE-1,13.11,"37,643.15"
05,BACA,0240,PRITCHETT RE-3,10.13,"24,921.81"
05,BACA,0250,SPRINGFIELD RE-4,32.33,"28,832.27"
05,BACA,0260,VILAS RE-5,7.88,"32,674.29"
05,BACA,0270,CAMPO RE-6,9.65,"34,165.03"
06,BENT,0290,LAS ANIMAS RE-1,31.73,"36,609.27"
06,BENT,0310,MC CLAVE RE-2,21.23,"34,348.23"
07,BOULDER,0470,ST VRAIN VALLEY RE 1J,"1,704.88","52,941.08"
07,BOULDER,0480,BOULDER VALLEY RE 2,"1,679.73","71,574.20"
08,CHAFFEE,0490,BUENA VISTA R-31,61.57,"45,685.51"
08,CHAFFEE,0500,SALIDA R-32,78.58,"41,080.61"
09,CHEYENNE,0510,KIT CARSON R-1,15.75,"36,602.13"
09,CHEYENNE,0520,CHEYENNE COUNTY RE-5,18.47,"36,841.22"
10,CLEAR CREEK,0540,CLEAR CREEK RE-1,66.00,"43,230.84"
11,CONEJOS,0550,NORTH CONEJOS RE-1J,72.37,"41,140.85"
11,CONEJOS,0560,SANFORD 6J,26.37,"41,084.51"
11,CONEJOS,0580,SOUTH CONEJOS RE-10,20.85,"37,947.62"
12,COSTILLA,0640,CENTENNIAL R-1,19.81,"36,613.69"
12,COSTILLA,0740,SIERRA GRANDE R-30,20.83,"39,184.77"
13,CROWLEY,0770,CROWLEY COUNTY RE-1-J,29.95,"35,064.84"
