County Code,County Name,District Code,District Name,School Code,School Name,PK-12 Count,Teacher FTE,Pupil/Teacher FTE Ratio
01,ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,638,30.50,20.92
01,ADAMS,0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,245,14.00,17.50
01,ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,199,12.88,15.46
01,ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,435,16.00,27.19
01,ADAMS,0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,484,26.00,18.62
01,ADAMS,0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,510,26.49,19.25
01,ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,757,41.00,18.46
01,ADAMS,0010,MAPLETON 1,0504,WELBY COMMUNITY SCHOOL,253,19.25,13.14
01,ADAMS,0010,MAPLETON 1,0505,ACHIEVE ACADEMY,564,32.50,17.35
01,ADAMS,0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,419,22.60,18.54
01,ADAMS,0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,408,24.00,17.00
01,ADAMS,0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,459,27.70,16.57
01,ADAMS,0010,MAPLETON 1,0695,BIG PICTURE COLLEGE AND CAREER ACADEMY,92,4.50,20.44
01,ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,2426,9.17,264.43
01,ADAMS,0010,MAPLETON 1,3590,GLOBAL INTERMEDIATE ACADEMY,195,12.58,15.51
01,ADAMS,0010,MAPLETON 1,3623,GLOBAL PRIMARY ACADEMY,227,13.25,17.13
01,ADAMS,0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,58,3.20,18.13
01,ADAMS,0010,MAPLETON 1,9036,VALLEY VIEW K-8,438,22.59,19.39
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,489,23.00,21.26
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,1338,69.25,19.32
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0059,MERIDIAN ELEMENTARY SCHOOL,782,35.45,22.06
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0070,ADAMS12 FIVE STAR PRESCHOOL,319,3.66,87.07
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,357,27.23,13.11
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,624,31.00,20.13
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1388,CENTENNIAL ELEMENTARY SCHOOL,520,25.50,20.39
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL,1021,55.38,18.44
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,1156,54.03,21.39
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1878,CORONADO HILLS ELEMENTARY SCHOOL,590,29.00,20.34
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1914,COTTON CREEK ELEMENTARY SCHOOL,604,30.50,19.80
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1937,COYOTE RIDGE ELEMENTARY SCHOOL,568,27.70,20.51
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2361,EAGLEVIEW ELEMENTARY SCHOOL,581,29.00,20.03
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2410,TARVER ELEMENTARY SCHOOL,550,23.80,23.11
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2576,CHERRY DRIVE ELEMENTARY SCHOOL,343,18.81,18.23
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2578,SKYVIEW ELEMENTARY SCHOOL,507,26.80,18.92
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2580,HUNTERS GLEN ELEMENTARY SCHOOL,510,24.00,21.25
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2582,ROCKY MOUNTAIN ELEMENTARY SCHOOL,466,27.25,17.10
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2584,RIVERDALE ELEMENTARY SCHOOL,423,21.10,20.05
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2918,FEDERAL HEIGHTS ELEMENTARY SCHOOL,545,31.00,17.58
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4000,HILLCREST ELEMENTARY SCHOOL,489,27.00,18.11
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HIGH SCHOOL,1979,94.25,21.00
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM OPTIONS K-8 SCHOOL,682,35.00,19.49
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4187,SILVER HILLS MIDDLE SCHOOL,1100,57.30,19.20
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH SCHOOL,2285,100.95,22.64
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5058,LEROY DRIVE ELEMENTARY SCHOOL,464,25.50,18.20
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5418,MALLEY DRIVE ELEMENTARY SCHOOL,519,27.40,18.94
