County Name,Organization Code,Organization Name,All Students Final Grad Base,All Students Graduates Total,All Students Graduation Rate,All Students Completers Total,All Students Completion Rate,Female Final Grad Base,Females Graduates Total,Female Graduation Rate,Female Completers Total,Female Completion Rate,Male Final Grad Base, Male Graduates Total,Male Graduation Rate,Male Completers Total,Male Completion Rate,American Indian or Alaska Native Final Grad Base,American Indian or Alaska Native Graduates,American Indian or Alaska Native Graduation Rate,American Indian or Alaska Native Completers Total,American Indian or Alaska Native Completion Rate,American Indian or Alaska Native Female Final Grad Base,American Indian or Alaska Native Female Graduates,American Indian or Alaska Native Female Native Graduation Rate,American Indian or Alaska Native Female Completers Total,American Indian or Alaska Native Female Completion Rate,American Indian or Alaska Native Male Final Grad Base,American Indian or Alaska Native Male Graduates,American Indian or Alaska Native Male Graduation Rate,American Indian or Alaska Native Male Completers Total,American Indian or Alaska Native Male Completion Rate,Asian Final Grad Base,Asian Graduates,Asian Graduation Rate,Asian Completers Total,Asian Completion Rate,Asian Female Final Grad Base,Asian Female Graduates,Asian Female Graduation Rate,Asian Female Completers Total,Asian Female Completion Rate,Asian Male Final Grad Base,Asian Male Graduates,Asian Male Graduation Rate,Asian Male Completers Total,Asian Male Completion Rate,Black or African American Final Grad Base,Black or African American Graduates,Black or African American Graduation Rate,Black or African American Completers Total,Black or African American Completion Rate,Black or African American Female Final Grad Base,Black or African American Female Graduates,Black or African American Female Graduation Rate,Black or African American Female Completers Total,Black or African American Female Completion Rate,Black or African American Male Final Grad Base,Black or African American Male Graduates,Black or African American Male Graduation Rate,Black or African American Male Completers Total,Black or African American Male Completion Rate,Hispanic or Latino Final Grad Base,Hispanic or Latino Graduates,Hispanic or Latino Graduation Rate,Hispanic or Latino Completers Total,Hispanic or Latino Completion Rate,Hispanic or Latino Female Final Grad Base,Hispanic or Latino Female Graduates,Hispanic or Latino Female Graduation Rate,Hispanic or Latino Female Completers Total,Hispanic or Latino Female Completion Rate,Hispanic or Latino Male Final Grad Base,Hispanic or Latino Male Graduates,Hispanic or Latino Male Graduation Rate,Hispanic or Latino Male Completers Total,Hispanic or Latino Male Completion Rate,White Final Grad Base,White Graduates,White Graduation Rate,White Completers Total,White Completion Rate,White Female Final Grad Base,White Female Graduates,White Female Graduation Rate,White Female Completers Total,White Female Completion Rate,White Male Final Grad Base,White Male Graduates,White Male Graduation Rate,White Male Completers Total,White Male Completion Rate,Native Hawaiian or Other Pacific Islander Grad Base,Native Hawaiian or Other Pacific Islander Graduates,Native Hawaiian or Other Pacific Islander Graduation Rate,Native Hawaiian or Other Pacific Islander Completers Total,Native Hawaiian or Other Pacific Islander Completion Rate,Native Hawaiian or Other Pacific Islander Female Grad Base,Native Hawaiian or Other Pacific Islander Female Graduates,Native Hawaiian or Other Pacific Islander Female Graduation Rate,Native Hawaiian or Other Pacific Islander Female Completers Total,Native Hawaiian or Other Pacific Islander Female Completion Rate,Native Hawaiian or Other Pacific Islander Male Grad Base,Native Hawaiian or Other Pacific Islander Male Graduates,Native Hawaiian or Other Pacific Islander Male Graduation Rate,Native Hawaiian or Other Pacific Islander Male Completers Total,Native Hawaiian or Other Pacific Islander Male Completion Rate,Two or More Races Final Grad Base,Two or More Races Graduates,Two or More Races Graduation Rate,Two or More Races Completers Total,Two or More Races Completion Rate,Two or More Races Female Final Grad Base,Two or More Races Female Graduates,Two or More Races Female Graduation Rate,Two or More Races Female Completers Total,Two or More Races Female Completion Rate,Two or More Races Male Final Grad Base,Two or More Races Male Graduates,Two or More Races Male Graduation Rate,Two or More Races Male Completers Total,Two or More Races Male Completion Rate
ADAMS,0010,MAPLETON 1,639,413,64.6%,439,68.7%,332,237,71.4%,251,75.6%,307,176,57.3%,188,61.2%,7,3,42.9%,3,42.9%,4,1,25.0%,1,25.0%,3,2,66.7%,2,66.7%,9,7,77.8%,7,77.8%,5,4,80.0%,4,80.0%,4,3,75.0%,3,75.0%,7,6,85.7%,6,85.7%,5,5,100.0%,5,100.0%,2,1,50.0%,1,50.0%,314,218,69.4%,221,70.4%,164,128,78.0%,131,79.9%,150,90,60.0%,90,60.0%,277,165,59.6%,187,67.5%,146,93,63.7%,103,70.5%,131,72,55.0%,84,64.1%,2,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,2,0,0.0%,0,0.0%,23,14,60.9%,15,65.2%,8,6,75.0%,7,87.5%,15,8,53.3%,8,53.3%
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,"2,626","2,116",80.6%,"2,142",81.6%,"1,246","1,055",84.7%,"1,065",85.5%,"1,380","1,061",76.9%,"1,077",78.0%,23,16,69.6%,17,73.9%,11,10,90.9%,10,90.9%,12,6,50.0%,7,58.3%,155,145,93.5%,147,94.8%,76,75,98.7%,76,100.0%,79,70,88.6%,71,89.9%,61,46,75.4%,46,75.4%,22,18,81.8%,18,81.8%,39,28,71.8%,28,71.8%,992,744,75.0%,750,75.6%,474,380,80.2%,382,80.6%,518,364,70.3%,368,71.0%,"1,357","1,134",83.6%,"1,151",84.8%,641,555,86.6%,562,87.7%,716,579,80.9%,589,82.3%,6,6,100.0%,6,100.0%,4,4,100.0%,4,100.0%,2,2,100.0%,2,100.0%,32,25,78.1%,25,78.1%,18,13,72.2%,13,72.2%,14,12,85.7%,12,85.7%
ADAMS,0030,ADAMS COUNTY 14,544,358,65.8%,366,67.3%,261,191,73.2%,194,74.3%,283,167,59.0%,172,60.8%,1,1,100.0%,1,100.0%,1,1,100.0%,1,100.0%,0,0,0.0%,0,0.0%,1,1,100.0%,1,100.0%,0,0,0.0%,0,0.0%,1,1,100.0%,1,100.0%,15,10,66.7%,10,66.7%,5,4,80.0%,4,80.0%,10,6,60.0%,6,60.0%,452,305,67.5%,310,68.6%,218,166,76.1%,168,77.1%,234,139,59.4%,142,60.7%,72,39,54.2%,42,58.3%,35,18,51.4%,19,54.3%,37,21,56.8%,23,62.2%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,3,2,66.7%,2,66.7%,2,2,100.0%,2,100.0%,1,0,0.0%,0,0.0%
ADAMS,0040,SCHOOL DISTRICT 27J,"1,092",846,77.5%,866,79.3%,542,452,83.4%,461,85.1%,550,394,71.6%,405,73.6%,9,6,66.7%,6,66.7%,3,2,66.7%,2,66.7%,6,4,66.7%,4,66.7%,31,27,87.1%,27,87.1%,13,13,100.0%,13,100.0%,18,14,77.8%,14,77.8%,25,20,80.0%,20,80.0%,20,17,85.0%,17,85.0%,5,3,60.0%,3,60.0%,492,349,70.9%,362,73.6%,253,194,76.7%,201,79.4%,239,155,64.9%,161,67.4%,514,426,82.9%,433,84.2%,245,219,89.4%,221,90.2%,269,207,77.0%,212,78.8%,1,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,1,0,0.0%,0,0.0%,20,18,90.0%,18,90.0%,8,7,87.5%,7,87.5%,12,11,91.7%,11,91.7%
ADAMS,0050,BENNETT 29J,70,54,77.1%,55,78.6%,36,29,80.6%,29,80.6%,34,25,73.5%,26,76.5%,1,1,100.0%,1,100.0%,0,0,0.0%,0,0.0%,1,1,100.0%,1,100.0%,1,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,1,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,14,11,78.6%,12,85.7%,8,6,75.0%,6,75.0%,6,5,83.3%,6,100.0%,50,39,78.0%,39,78.0%,25,20,80.0%,20,80.0%,25,19,76.0%,19,76.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,4,3,75.0%,3,75.0%,3,3,100.0%,3,100.0%,1,0,0.0%,0,0.0%
ADAMS,0060,STRASBURG 31J,89,74,83.1%,74,83.1%,46,40,87.0%,40,87.0%,43,34,79.1%,34,79.1%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,3,2,66.7%,2,66.7%,1,0,0.0%,0,0.0%,2,2,100.0%,2,100.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,11,10,90.9%,10,90.9%,7,7,100.0%,7,100.0%,4,3,75.0%,3,75.0%,75,62,82.7%,62,82.7%,38,33,86.8%,33,86.8%,37,29,78.4%,29,78.4%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%
ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,704,396,56.3%,402,57.1%,337,211,62.6%,215,63.8%,367,185,50.4%,187,51.0%,4,1,25.0%,1,25.0%,0,0,0.0%,0,0.0%,4,1,25.0%,1,25.0%,42,33,78.6%,34,81.0%,20,16,80.0%,17,85.0%,22,17,77.3%,17,77.3%,8,6,75.0%,6,75.0%,3,2,66.7%,2,66.7%,5,4,80.0%,4,80.0%,518,292,56.4%,293,56.6%,253,161,63.6%,161,63.6%,265,131,49.4%,132,49.8%,123,61,49.6%,64,52.0%,58,32,55.2%,34,58.6%,65,29,44.6%,30,46.2%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,9,3,33.3%,4,44.4%,3,0,0.0%,1,33.3%,6,3,50.0%,3,50.0%
ALAMOSA,0100,ALAMOSA RE-11J,147,117,79.6%,117,79.6%,86,73,84.9%,73,84.9%,61,44,72.1%,44,72.1%,2,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,2,0,0.0%,0,0.0%,1,1,100.0%,1,100.0%,1,1,100.0%,1,100.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,92,66,71.7%,66,71.7%,51,40,78.4%,40,78.4%,41,26,63.4%,26,63.4%,52,50,96.2%,50,96.2%,34,32,94.1%,32,94.1%,18,18,100.0%,18,100.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%
ALAMOSA,0110,SANGRE DE CRISTO RE-22J,21,21,100.0%,21,100.0%,12,12,100.0%,12,100.0%,9,9,100.0%,9,100.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,6,6,100.0%,6,100.0%,4,4,100.0%,4,100.0%,2,2,100.0%,2,100.0%,14,14,100.0%,14,100.0%,8,8,100.0%,8,100.0%,6,6,100.0%,6,100.0%,1,1,100.0%,1,100.0%,0,0,0.0%,0,0.0%,1,1,100.0%,1,100.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%
ARAPAHOE,0120,ENGLEWOOD 1,275,148,53.8%,153,55.6%,125,79,63.2%,80,64.0%,150,69,46.0%,73,48.7%,2,2,100.0%,2,100.0%,1,1,100.0%,1,100.0%,1,1,100.0%,1,100.0%,1,0,0.0%,0,0.0%,1,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,8,5,62.5%,5,62.5%,4,4,100.0%,4,100.0%,4,1,25.0%,1,25.0%,103,53,51.5%,54,52.4%,46,24,52.2%,24,52.2%,57,29,50.9%,30,52.6%,149,83,55.7%,87,58.4%,69,47,68.1%,48,69.6%,80,36,45.0%,39,48.8%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,12,5,41.7%,5,41.7%,4,3,75.0%,3,75.0%,8,2,25.0%,2,25.0%
