County Code,County,Org. Code,Organization Name,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latino,White,Native Hawaiian or Other Pacific Islander,Two or More Races,,Total Pupil Count,Total Minority Count,Percent Minority
01,ADAMS,0010,MAPLETON 1,70,110,166,"5,140","2,644",11,267,,"8,408","5,764",68.55%
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,330,"2,214",944,"14,908","22,958",62,814,,"42,230","19,272",45.64%
01,ADAMS,0030,ADAMS COUNTY 14,44,16,187,"6,289","1,000",2,60,,"7,598","6,598",86.84%
01,ADAMS,0040,BRIGHTON 27J,78,424,277,"7,344","8,094",18,463,,"16,698","8,604",51.53%
01,ADAMS,0050,BENNETT 29J,11,4,6,209,749,0,34,,"1,013",264,26.06%
01,ADAMS,0060,STRASBURG 31J,8,11,9,126,905,2,11,,"1,072",167,15.58%
01,ADAMS,0070,WESTMINSTER 50,62,510,128,"7,418","1,791",9,183,,"10,101","8,310",82.27%
01,ADAMS COUNTY TOTAL,, ,603,"3,289","1,717","41,434","38,141",104,"1,832",,"87,120","48,979",56.22%
02,ALAMOSA,0100,ALAMOSA RE-11J,10,20,15,"1,355",631,0,15,,"2,046","1,415",69.16%
02,ALAMOSA,0110,SANGRE DE CRISTO RE-22J,2,0,1,114,201,1,5,,324,123,37.96%
02,ALAMOSA COUNTY TOTAL,, ,12,20,16,"1,469",832,1,20,,"2,370","1,538",64.89%
03,ARAPAHOE,0120,ENGLEWOOD 1,29,30,92,"1,079","1,485",5,115,,"2,835","1,350",47.62%
03,ARAPAHOE,0123,SHERIDAN 2,17,41,65,"1,187",246,2,25,,"1,583","1,337",84.46%
03,ARAPAHOE,0130,CHERRY CREEK 5,283,"4,440","6,288","10,156","29,945",150,"2,964",,"54,226","24,281",44.78%
03,ARAPAHOE,0140,LITTLETON 6,76,486,202,"2,679","11,846",18,523,,"15,830","3,984",25.17%
03,ARAPAHOE,0170,DEER TRAIL 26J,1,0,0,30,144,0,1,,176,32,18.18%
03,ARAPAHOE,0180,ADAMS-ARAPAHOE 28J,319,"1,842","7,324","22,114","7,355",215,"1,708",,"40,877","33,522",82.01%
03,ARAPAHOE,0190,BYERS 32J,2,1,9,81,520,2,32,,647,127,19.63%
03,ARAPAHOE COUNTY TOTAL,, ,727,"6,840","13,980","37,326","51,541",392,"5,368",,"116,174","64,633",55.63%
04,ARCHULETA,0220,ARCHULETA COUNTY 50 JT,19,14,10,419,841,1,19,,"1,323",482,36.43%
04,ARCHULETA COUNTY TOTAL,, ,19,14,10,419,841,1,19,,"1,323",482,36.43%
05,BACA,0230,WALSH RE-1,2,0,3,28,121,0,2,,156,35,22.44%
05,BACA,0240,PRITCHETT RE-3,3,0,0,9,39,0,2,,53,14,26.42%
05,BACA,0250,SPRINGFIELD RE-4,0,0,1,42,246,0,10,,299,53,17.73%
05,BACA,0260,VILAS RE-5,1,0,5,21,99,0,1,,127,28,22.05%
05,BACA,0270,CAMPO RE-6,0,0,0,0,40,0,4,,44,4,9.09%
05,BACA COUNTY TOTAL,, ,6,0,9,100,545,0,19,,679,134,19.73%
06,BENT,0290,LAS ANIMAS RE-1,1,2,2,222,256,0,9,,492,236,47.97%
06,BENT,0310,MC CLAVE RE-2,0,0,0,0,262,0,4,,266,4,1.50%
06,BENT COUNTY TOTAL,, ,1,2,2,222,518,0,13,,758,240,31.66%
07,BOULDER,0470,ST VRAIN VALLEY RE 1J,152,956,283,"8,670","19,611",60,463,,"30,195","10,584",35.05%
07,BOULDER,0480,BOULDER VALLEY RE 2,115,"1,781",267,"5,428","21,404",35,"1,516",,"30,546","9,142",29.93%
07,BOULDER COUNTY TOTAL,, ,267,"2,737",550,"14,098","41,015",95,"1,979",,"60,741","19,726",32.48%
08,CHAFFEE,0490,BUENA VISTA R-31,12,8,9,107,812,1,19,,968,156,16.12%
08,CHAFFEE,0500,SALIDA R-32,6,8,8,168,961,0,25,,"1,176",215,18.28%
08,CHAFFEE COUNTY TOTAL,, ,18,16,17,275,"1,773",1,44,,"2,144",371,17.30%
09,CHEYENNE,0510,KIT CARSON R-1,0,1,0,16,97,0,0,,114,17,14.91%
09,CHEYENNE,0520,CHEYENNE COUNTY RE-5,0,0,0,34,145,0,0,,179,34,18.99%
09,CHEYENNE COUNTY TOTAL,, ,0,1,0,50,242,0,0,,293,51,17.41%
10,CLEAR CREEK,0540,CLEAR CREEK RE-1,12,8,3,67,812,1,27,,930,118,12.69%
10,CLEAR CREEK COUNTY TOTAL,, ,12,8,3,67,812,1,27,,930,118,12.69%
11,CONEJOS,0550,NORTH CONEJOS RE-1J,5,0,6,593,391,3,7,,"1,005",614,61.09%
11,CONEJOS,0560,SANFORD 6J,0,0,0,124,264,0,7,,395,131,33.16%
11,CONEJOS,0580,SOUTH CONEJOS RE-10,6,1,3,180,22,0,3,,215,193,89.77%
11,CONEJOS COUNTY TOTAL,, ,11,1,9,897,677,3,17,,"1,615",938,58.08%
12,COSTILLA,0640,CENTENNIAL R-1,0,0,4,184,20,0,0,,208,188,90.38%
12,COSTILLA,0740,SIERRA GRANDE R-30,0,1,1,202,45,0,7,,256,211,82.42%
12,COSTILLA COUNTY TOTAL,, ,0,1,5,386,65,0,7,,464,399,85.99%
13,CROWLEY,0770,CROWLEY COUNTY RE-1-J,8,2,2,168,253,1,14,,448,195,43.53%
13,CROWLEY COUNTY TOTAL,, ,8,2,2,168,253,1,14,,448,195,43.53%
14,CUSTER,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,2,3,3,10,376,0,17,,411,35,8.52%
14,CUSTER COUNTY TOTAL,, ,2,3,3,10,376,0,17,,411,35,8.52%
15,DELTA,0870,DELTA COUNTY 50(J),39,90,30,"1,048","3,761",4,90,,"5,062","1,301",25.70%
15,DELTA COUNTY TOTAL,, ,39,90,30,"1,048","3,761",4,90,,"5,062","1,301",25.70%
16,DENVER,0880,DENVER COUNTY 1,600,"2,869","11,902","49,604","18,258",187,"2,623",,"86,043","67,785",78.78%
16,DENVER COUNTY TOTAL,, ,600,"2,869","11,902","49,604","18,258",187,"2,623",,"86,043","67,785",78.78%
17,DOLORES,0890,DOLORES COUNTY RE NO.2,5,0,0,4,280,0,4,,293,13,4.44%
17,DOLORES COUNTY TOTAL,, ,5,0,0,4,280,0,4,,293,13,4.44%
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,291,"2,669","1,109","9,210","50,116",93,"2,742",,"66,230","16,114",24.33%
18,DOUGLAS COUNTY TOTAL,, ,291,"2,669","1,109","9,210","50,116",93,"2,742",,"66,230","16,114",24.33%
19,EAGLE,0910,EAGLE COUNTY RE 50,56,59,32,"3,285","3,006",4,78,,"6,520","3,514",53.90%
19,EAGLE COUNTY TOTAL,, ,56,59,32,"3,285","3,006",4,78,,"6,520","3,514",53.90%
20,ELBERT,0920,ELIZABETH C-1,12,17,13,258,"2,248",5,68,,"2,621",373,14.23%
20,ELBERT,0930,KIOWA C-2,1,0,2,34,293,3,11,,344,51,14.83%
20,ELBERT,0940,BIG SANDY 100J,2,0,1,27,272,2,14,,318,46,14.47%
20,ELBERT,0950,ELBERT 200,1,5,0,8,181,0,3,,198,17,8.59%
20,ELBERT,0960,AGATE 300,0,0,0,1,11,0,0,,12,1,8.33%
20,ELBERT COUNTY TOTAL,, ,16,22,16,328,"3,005",10,96,,"3,493",488,13.97%
21,EL PASO,0970,CALHAN RJ-1,1,1,5,42,414,0,9,,472,58,12.29%
21,EL PASO,0980,HARRISON 2,128,305,"1,882","4,972","3,189",104,599,,"11,179","7,990",71.47%
21,EL PASO,0990,WIDEFIELD 3,79,132,955,"2,404","4,888",117,789,,"9,364","4,476",47.80%
21,EL PASO,1000,FOUNTAIN 8,66,99,"1,035","2,004","4,005",118,762,,"8,089","4,084",50.49%
21,EL PASO,1010,COLORADO SPRINGS 11,249,546,"2,024","8,438","14,992",96,"2,059",,"28,404","13,412",47.22%
21,EL PASO,1020,CHEYENNE MOUNTAIN 12,21,198,155,718,"3,770",9,256,,"5,127","1,357",26.47%
21,EL PASO,1030,MANITOU SPRINGS 14,13,13,22,118,"1,264",4,46,,"1,480",216,14.59%
21,EL PASO,1040,ACADEMY 20,102,932,722,"3,055","18,235",87,"1,348",,"24,481","6,246",25.51%
21,EL PASO,1050,ELLICOTT 22,2,2,28,257,613,2,51,,955,342,35.81%
21,EL PASO,1060,PEYTON 23 JT,11,6,8,56,510,0,15,,606,96,15.84%
21,EL PASO,1070,HANOVER 28,2,1,4,69,166,0,9,,251,85,33.86%
21,EL PASO,1080,LEWIS-PALMER 38,44,161,72,602,"5,106",8,282,,"6,275","1,169",18.63%
21,EL PASO,1110,FALCON 49,111,475,"1,165","4,371","11,485",70,"1,203",,"18,880","7,395",39.17%
21,EL PASO,1120,EDISON 54 JT,0,2,0,16,165,1,7,,191,26,13.61%
21,EL PASO,1130,MIAMI/YODER 60 JT,1,0,2,51,239,0,14,,307,68,22.15%
21,EL PASO COUNTY TOTAL,, ,830,"2,873","8,079","27,173","69,041",616,"7,449",,"116,061","47,020",40.51%
22,FREMONT,1140,CANON CITY RE-1,28,24,13,453,"3,012",11,109,,"3,650",638,17.48%
22,FREMONT,1150,FREMONT RE-2,4,8,10,233,"1,150",2,43,,"1,450",300,20.69%
22,FREMONT,1160,COTOPAXI RE-3,4,1,0,15,186,0,5,,211,25,11.85%
22,FREMONT COUNTY TOTAL,, ,36,33,23,701,"4,348",13,157,,"5,311",963,18.13%
23,GARFIELD,1180,ROARING FORK RE-1,20,47,16,"2,915","2,527",2,101,,"5,628","3,101",55.10%
23,GARFIELD,1195,GARFIELD RE-2,45,18,16,"2,002","2,642",2,93,,"4,818","2,176",45.16%
23,GARFIELD,1220,GARFIELD 16,26,2,7,346,627,3,39,,"1,050",423,40.29%
23,GARFIELD COUNTY TOTAL,, ,91,67,39,"5,263","5,796",7,233,,"11,496","5,700",49.58%
24,GILPIN,1330,GILPIN COUNTY RE-1,0,6,5,57,325,3,25,,421,96,22.80%
24,GILPIN COUNTY TOTAL,, ,0,6,5,57,325,3,25,,421,96,22.80%
25,GRAND,1340,WEST GRAND 1-JT.,0,0,0,104,323,2,11,,440,117,26.59%
25,GRAND,1350,EAST GRAND 2,12,3,4,151,"1,073",6,15,,"1,264",191,15.11%
25,GRAND COUNTY TOTAL,, ,12,3,4,255,"1,396",8,26,,"1,704",308,18.08%
26,GUNNISON,1360,GUNNISON WATERSHED RE1J,11,6,9,327,"1,544",2,35,,"1,934",390,20.17%
26,GUNNISON COUNTY TOTAL,, ,11,6,9,327,"1,544",2,35,,"1,934",390,20.17%
27,HINSDALE,1380,HINSDALE COUNTY RE 1,2,0,1,2,73,0,2,,80,7,8.75%
27,HINSDALE COUNTY TOTAL,, ,2,0,1,2,73,0,2,,80,7,8.75%
28,HUERFANO,1390,HUERFANO RE-1,17,3,7,336,147,1,0,,511,364,71.23%
28,HUERFANO,1400,LA VETA RE-2,1,0,0,60,129,0,1,,191,62,32.46%
28,HUERFANO COUNTY TOTAL,, ,18,3,7,396,276,1,1,,702,426,60.68%
29,JACKSON,1410,NORTH PARK R-1 ,1,0,0,43,163,0,6,,213,50,23.47%
29,JACKSON COUNTY TOTAL,, ,1,0,0,43,163,0,6,,213,50,23.47%
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,553,"2,671",989,"20,767","57,999",163,"2,841",,"85,983","27,984",32.55%
30,JEFFERSON COUNTY TOTAL,, ,553,"2,671",989,"20,767","57,999",163,"2,841",,"85,983","27,984",32.55%
31,KIOWA,1430,EADS RE-1,3,0,1,0,175,2,0,,181,6,3.31%
