Organization Code,Organization Name,Course Code,Course Name,American Indian or Alaska Native Count,Asian Count,Black or African American Count,Hispanic or Latino Count,White Count,Native Hawaiian or Other Pacific Islander Count,Two Or More Races Count,Male Count,Female Count,Total Student Count
9999,STATE TOTALS,01,Art History,0,20,10,59,204,0,12,103,202,305
9999,STATE TOTALS,02,Biology,18,298,122,650,2498,5,142,1399,2334,3733
9999,STATE TOTALS,03,Calculus AB,19,403,94,652,3801,5,179,2643,2510,5153
9999,STATE TOTALS,04,Calculus BC,10,317,59,336,1903,2,114,1531,1210,2741
9999,STATE TOTALS,05,Chemistry,10,261,72,409,2020,7,117,1571,1325,2896
9999,STATE TOTALS,06,Computer Science A,4,66,13,72,376,0,25,472,84,556
9999,STATE TOTALS,07,Computer Science AB,2,14,35,100,90,1,9,130,121,251
9999,STATE TOTALS,08,Economics: Macro,2,87,11,97,759,0,45,598,403,1001
9999,STATE TOTALS,09,Economics: Micro,5,73,32,89,717,0,31,576,371,947
9999,STATE TOTALS,10,English Language and Composition,40,600,534,1981,7491,29,437,4132,6980,11112
9999,STATE TOTALS,11,English Literature and Composition,15,325,251,1076,4192,8,240,2304,3803,6107
9999,STATE TOTALS,12,Environmental Science,17,96,42,291,1509,7,78,941,1099,2040
9999,STATE TOTALS,13,European History,4,99,19,176,1167,4,74,753,790,1543
9999,STATE TOTALS,14,French Language,0,29,13,69,278,2,20,125,286,411
9999,STATE TOTALS,15,French Literature,0,0,0,0,0,0,0,0,0,0
9999,STATE TOTALS,16,German Language,0,1,0,4,53,0,2,33,27,60
9999,STATE TOTALS,17,Government and Politics: Comparative,2,67,9,112,856,1,41,531,557,1088
9999,STATE TOTALS,18,Government and Politics: United States,15,242,152,571,2466,9,152,1691,1916,3607
9999,STATE TOTALS,19,Human Geography,25,311,209,855,3469,16,216,2255,2846,5101
9999,STATE TOTALS,20,Latin Literature,0,4,0,0,31,0,4,24,15,39
9999,STATE TOTALS,21,Latin: Vergil,0,0,0,0,0,0,0,0,0,0
9999,STATE TOTALS,22,Music Theory,1,21,3,27,214,0,9,139,136,275
9999,STATE TOTALS,23,Physics B,11,137,69,360,1409,6,91,1270,813,2083
9999,STATE TOTALS,24,Physics C: Electricity and Magnetism,5,83,29,122,761,4,57,735,326,1061
9999,STATE TOTALS,25,Physics C: Mechanics,3,104,9,70,756,2,44,748,240,988
9999,STATE TOTALS,26,Psychology,12,244,217,652,2745,8,183,1445,2616,4061
9999,STATE TOTALS,27,Spanish Language,7,89,15,1097,963,1,30,862,1340,2202
9999,STATE TOTALS,28,Spanish Literature,0,8,5,437,104,0,8,200,362,562
9999,STATE TOTALS,29,Statistics,17,243,144,609,3189,8,176,2075,2311,4386
9999,STATE TOTALS,30,Studio Art: 2-D Design,1,18,19,99,303,1,15,133,323,456
9999,STATE TOTALS,31,Studio Art: 3-D Design,2,6,13,57,142,0,5,65,160,225
9999,STATE TOTALS,32,Studio Art: Drawing,10,28,13,103,433,0,23,184,426,610
9999,STATE TOTALS,33,U.S. History,33,386,227,1137,4924,9,249,3194,3771,6965
9999,STATE TOTALS,34,World History,16,278,158,775,2432,6,144,1779,2030,3809
9999,STATE TOTALS,35,Chinese Language and Culture,0,9,0,0,10,0,3,11,11,22
9999,STATE TOTALS,36,Japanese Language and Culture,0,9,0,1,12,0,0,9,13,22
9999,STATE TOTALS,TOTAL,STATE TOTALS,306,4976,2598,13145,52277,141,2975,34661,41757,76418
,,,,,,,,,,,,,
0010,MAPLETON 1,01,Art History,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,02,Biology,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,03,Calculus AB,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,04,Calculus BC,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,05,Chemistry,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,06,Computer Science A,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,07,Computer Science AB,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,08,Economics: Macro,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,09,Economics: Micro,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,10,English Language and Composition,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,11,English Literature and Composition,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,12,Environmental Science,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,13,European History,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,14,French Language,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,15,French Literature,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,16,German Language,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,17,Government and Politics: Comparative,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,18,Government and Politics: United States,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,19,Human Geography,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,20,Latin Literature,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,21,Latin: Vergil,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,22,Music Theory,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,23,Physics B,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,24,Physics C: Electricity and Magnetism,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,25,Physics C: Mechanics,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,26,Psychology,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,27,Spanish Language,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,28,Spanish Literature,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,29,Statistics,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,30,Studio Art: 2-D Design,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,31,Studio Art: 3-D Design,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,32,Studio Art: Drawing,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,33,U.S. History,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,34,World History,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,35,Chinese Language and Culture,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,36,Japanese Language and Culture,0,0,0,0,0,0,0,0,0,0
0010,MAPLETON 1,TOTAL,DISTRICT TOTALS,0,0,0,0,0,0,0,0,0,0
0020,ADAMS 12 FIVE STAR SCHOOLS,01,Art History,0,0,0,0,0,0,0,0,0,0
0020,ADAMS 12 FIVE STAR SCHOOLS,02,Biology,1,6,1,16,27,0,1,25,27,52
