County Code,County,Org. Code,Organization Name,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latino,White,Native Hawaiian or Other Pacific Islander,Two or More Races,,Total PK-12 Pupil Count,Total Minority Count,Percent Minority
01,ADAMS,0010,MAPLETON 1,74,134,166,"5,238","2,769",16,273,,"8,670","5,901",68.06%
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,273,"2,054",776,"14,618","20,019",59,902,,"38,701","18,682",48.27%
01,ADAMS,0030,ADAMS COUNTY 14,50,22,187,"6,273",954,4,94,,"7,584","6,630",87.42%
01,ADAMS,0040,SCHOOL DISTRICT 27J,77,450,277,"7,535","8,233",22,509,,"17,103","8,870",51.86%
01,ADAMS,0050,BENNETT 29J,9,3,4,211,816,0,36,,"1,079",263,24.37%
01,ADAMS,0060,STRASBURG 31J,7,9,8,123,870,2,23,,"1,042",172,16.51%
01,ADAMS,0070,WESTMINSTER 50,44,467,117,"7,557","1,767",13,196,,"10,161","8,394",82.61%
01,ADAMS COUNTY TOTAL,, ,534,"3,139","1,535","41,555","35,428",116,"2,033",,"84,340","48,912",57.99%
02,ALAMOSA,0100,ALAMOSA RE-11J,19,22,18,"1,434",612,3,28,,"2,136","1,524",71.35%
02,ALAMOSA,0110,SANGRE DE CRISTO RE-22J,3,1,3,99,224,2,5,,337,113,33.53%
02,ALAMOSA COUNTY TOTAL,, ,22,23,21,"1,533",836,5,33,,"2,473","1,637",66.19%
03,ARAPAHOE,0120,ENGLEWOOD 1,22,53,77,"1,111","1,491",4,108,,"2,866","1,375",47.98%
03,ARAPAHOE,0123,SHERIDAN 2,19,37,58,"1,183",212,2,25,,"1,536","1,324",86.20%
03,ARAPAHOE,0130,CHERRY CREEK 5,283,"4,541","6,342","10,186","29,817",132,"3,198",,"54,499","24,682",45.29%
03,ARAPAHOE,0140,LITTLETON 6,70,494,200,"2,647","11,611",20,649,,"15,691","4,080",26.00%
03,ARAPAHOE,0170,DEER TRAIL 26J,2,0,0,31,146,0,5,,184,38,20.65%
03,ARAPAHOE,0180,ADAMS-ARAPAHOE 28J,317,"1,890","7,559","22,482","7,408",247,"1,826",,"41,729","34,321",82.25%
03,ARAPAHOE,0190,BYERS 32J,33,22,96,268,"1,677",3,43,,"2,142",465,21.71%
03,ARAPAHOE COUNTY TOTAL,, ,746,"7,037","14,332","37,908","52,362",408,"5,854",,"118,647","66,285",55.87%
04,ARCHULETA,0220,ARCHULETA COUNTY 50 JT,28,17,6,432,823,2,18,,"1,326",503,37.93%
04,ARCHULETA COUNTY TOTAL,, ,28,17,6,432,823,2,18,,"1,326",503,37.93%
05,BACA,0230,WALSH RE-1,3,0,1,32,119,0,1,,156,37,23.72%
05,BACA,0240,PRITCHETT RE-3,1,0,0,5,31,0,0,,37,6,16.22%
05,BACA,0250,SPRINGFIELD RE-4,2,0,3,48,233,0,13,,299,66,22.07%
05,BACA,0260,VILAS RE-5,0,0,8,18,78,0,0,,104,26,25.00%
05,BACA,0270,CAMPO RE-6,0,0,0,0,41,0,3,,44,3,6.82%
05,BACA COUNTY TOTAL,, ,6,0,12,103,502,0,17,,640,138,21.56%
06,BENT,0290,LAS ANIMAS RE-1,2,2,1,224,264,0,8,,501,237,47.31%
06,BENT,0310,MC CLAVE RE-2,0,0,1,0,275,0,3,,279,4,1.43%
06,BENT COUNTY TOTAL,, ,2,2,2,224,539,0,11,,780,241,30.90%
07,BOULDER,0470,ST VRAIN VALLEY RE 1J,147,999,295,"9,062","19,981",55,537,,"31,076","11,095",35.70%
07,BOULDER,0480,BOULDER VALLEY RE 2,120,"1,780",288,"5,556","21,538",37,"1,589",,"30,908","9,370",30.32%
07,BOULDER COUNTY TOTAL,, ,267,"2,779",583,"14,618","41,519",92,"2,126",,"61,984","20,465",33.02%
08,CHAFFEE,0490,BUENA VISTA R-31,10,7,8,96,800,1,28,,950,150,15.79%
08,CHAFFEE,0500,SALIDA R-32,5,11,7,171,964,1,35,,"1,194",230,19.26%
08,CHAFFEE COUNTY TOTAL,, ,15,18,15,267,"1,764",2,63,,"2,144",380,17.72%
09,CHEYENNE,0510,KIT CARSON R-1,0,1,0,18,89,0,0,,108,19,17.59%
09,CHEYENNE,0520,CHEYENNE COUNTY RE-5,0,0,1,34,147,0,0,,182,35,19.23%
09,CHEYENNE COUNTY TOTAL,, ,0,1,1,52,236,0,0,,290,54,18.62%
10,CLEAR CREEK,0540,CLEAR CREEK RE-1,14,8,2,78,756,0,32,,890,134,15.06%
10,CLEAR CREEK COUNTY TOTAL,, ,14,8,2,78,756,0,32,,890,134,15.06%
11,CONEJOS,0550,NORTH CONEJOS RE-1J,5,0,6,549,401,0,3,,964,563,58.40%
11,CONEJOS,0560,SANFORD 6J,2,0,0,126,261,0,2,,391,130,33.25%
11,CONEJOS,0580,SOUTH CONEJOS RE-10,4,0,1,182,30,0,1,,218,188,86.24%
11,CONEJOS COUNTY TOTAL,, ,11,0,7,857,692,0,6,,"1,573",881,56.01%
12,COSTILLA,0640,CENTENNIAL R-1,0,0,5,198,18,0,0,,221,203,91.86%
12,COSTILLA,0740,SIERRA GRANDE R-30,0,1,1,195,48,1,8,,254,206,81.10%
12,COSTILLA COUNTY TOTAL,, ,0,1,6,393,66,1,8,,475,409,86.11%
13,CROWLEY,0770,CROWLEY COUNTY RE-1-J,6,0,2,162,256,0,11,,437,181,41.42%
13,CROWLEY COUNTY TOTAL,, ,6,0,2,162,256,0,11,,437,181,41.42%
14,CUSTER,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,5,3,2,9,365,0,13,,397,32,8.06%
14,CUSTER COUNTY TOTAL,, ,5,3,2,9,365,0,13,,397,32,8.06%
15,DELTA,0870,DELTA COUNTY 50(J),39,77,38,"1,056","3,766",4,95,,"5,075","1,309",25.79%
15,DELTA COUNTY TOTAL,, ,39,77,38,"1,056","3,766",4,95,,"5,075","1,309",25.79%
16,DENVER,0880,DENVER COUNTY 1,578,"2,928","12,235","50,467","19,593",201,"2,837",,"88,839","69,246",77.95%
16,DENVER COUNTY TOTAL,, ,578,"2,928","12,235","50,467","19,593",201,"2,837",,"88,839","69,246",77.95%
17,DOLORES,0890,DOLORES COUNTY RE NO.2,4,0,0,6,256,0,3,,269,13,4.83%
17,DOLORES COUNTY TOTAL,, ,4,0,0,6,256,0,3,,269,13,4.83%
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,325,"2,776",904,"9,487","50,259",100,"2,851",,"66,702","16,443",24.65%
18,DOUGLAS COUNTY TOTAL,, ,325,"2,776",904,"9,487","50,259",100,"2,851",,"66,702","16,443",24.65%
19,EAGLE,0910,EAGLE COUNTY RE 50,42,61,38,"3,455","3,010",4,103,,"6,713","3,703",55.16%
19,EAGLE COUNTY TOTAL,, ,42,61,38,"3,455","3,010",4,103,,"6,713","3,703",55.16%
20,ELBERT,0920,ELIZABETH C-1,15,12,9,243,"2,188",2,76,,"2,545",357,14.03%
20,ELBERT,0930,KIOWA C-2,0,0,2,35,243,2,5,,287,44,15.33%
20,ELBERT,0940,BIG SANDY 100J,2,0,1,27,254,2,9,,295,41,13.90%
20,ELBERT,0950,ELBERT 200,0,3,0,8,204,0,6,,221,17,7.69%
20,ELBERT,0960,AGATE 300,0,0,0,2,8,0,0,,10,2,20.00%
20,ELBERT COUNTY TOTAL,, ,17,15,12,315,"2,897",6,96,,"3,358",461,13.73%
21,EL PASO,0970,CALHAN RJ-1,0,1,4,36,414,0,8,,463,49,10.58%
21,EL PASO,0980,HARRISON 2,128,271,"1,848","5,294","3,057",120,723,,"11,441","8,384",73.28%
21,EL PASO,0990,WIDEFIELD 3,62,127,870,"2,468","4,764",134,858,,"9,283","4,519",48.68%
21,EL PASO,1000,FOUNTAIN 8,82,110,"1,018","2,125","3,907",132,746,,"8,120","4,213",51.88%
21,EL PASO,1010,COLORADO SPRINGS 11,239,505,"2,089","8,615","14,660",103,"2,121",,"28,332","13,672",48.26%
21,EL PASO,1020,CHEYENNE MOUNTAIN 12,18,203,157,741,"3,755",8,266,,"5,148","1,393",27.06%
21,EL PASO,1030,MANITOU SPRINGS 14,18,11,16,132,"1,240",2,39,,"1,458",218,14.95%
21,EL PASO,1040,ACADEMY 20,103,933,734,"3,093","18,207",76,"1,432",,"24,578","6,371",25.92%
21,EL PASO,1050,ELLICOTT 22,4,2,36,283,689,2,56,,"1,072",383,35.73%
21,EL PASO,1060,PEYTON 23 JT,9,8,11,77,498,1,18,,622,124,19.94%
21,EL PASO,1070,HANOVER 28,2,0,7,71,172,0,8,,260,88,33.85%
21,EL PASO,1080,LEWIS-PALMER 38,41,158,63,618,"5,055",6,266,,"6,207","1,152",18.56%
21,EL PASO,1110,FALCON 49,133,458,"1,181","4,516","11,843",81,"1,340",,"19,552","7,709",39.43%
21,EL PASO,1120,EDISON 54 JT,0,1,0,13,195,1,7,,217,22,10.14%
21,EL PASO,1130,MIAMI/YODER 60 JT,1,0,1,50,218,0,8,,278,60,21.58%
21,EL PASO COUNTY TOTAL,, ,840,"2,788","8,035","28,132","68,674",666,"7,896",,"117,031","48,357",41.32%
22,FREMONT,1140,CANON CITY RE-1,33,22,15,450,"2,981",4,98,,"3,603",622,17.26%
22,FREMONT,1150,FREMONT RE-2,3,7,6,224,"1,091",1,41,,"1,373",282,20.54%
22,FREMONT,1160,COTOPAXI RE-3,3,1,0,9,202,0,6,,221,19,8.60%
22,FREMONT COUNTY TOTAL,, ,39,30,21,683,"4,274",5,145,,"5,197",923,17.76%
