COUNTY CODE,COUNTY NAME,DISTRICT CODE,"DISTRICT NAME	",K-12 COUNT,FREE LUNCH,REDUCED LUNCH,NOT ELIGIBLE,FREE AND REDUCED,% FREE,% REDUCED,% FREE AND REDUCED
01,ADAMS,0010,MAPLETON 1,"8,240","3,935","1,068","3,204","5,003",47.75%,12.96%,60.72%
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,"37,665","11,505","2,786","23,357","14,291",30.55%,7.40%,37.94%
01,ADAMS,0030,ADAMS COUNTY 14,"6,980","4,592",494,"1,855","5,086",65.79%,7.08%,72.87%
01,ADAMS,0040,SCHOOL DISTRICT 27J,"16,575","4,998","1,410","10,122","6,408",30.15%,8.51%,38.66%
01,ADAMS,0050,BENNETT 29J,"1,012",255,91,661,346,25.20%,8.99%,34.19%
01,ADAMS,0060,STRASBURG 31J,976,166,46,764,212,17.01%,4.71%,21.72%
01,ADAMS,0070,WESTMINSTER 50,"9,626","6,431",958,"2,217","7,389",66.81%,9.95%,76.76%
01,ADAMS,TOTAL,,"81,074","31,882","6,853","42,180","38,735",39.32%,8.45%,47.78%
02,ALAMOSA,0100,ALAMOSA RE-11J,"2,136","1,256",193,673,"1,449",58.80%,9.04%,67.84%
02,ALAMOSA,0110,SANGRE DE CRISTO RE-22J,321,143,51,127,194,44.55%,15.89%,60.44%
02,ALAMOSA,TOTAL,,"2,457","1,399",244,800,"1,643",56.94%,9.93%,66.87%
03,ARAPAHOE,0120,ENGLEWOOD 1,"2,656","1,408",245,995,"1,653",53.01%,9.22%,62.24%
03,ARAPAHOE,0123,SHERIDAN 2,"1,376","1,170",81,125,"1,251",85.03%,5.89%,90.92%
03,ARAPAHOE,0130,CHERRY CREEK 5,"52,805","12,358","3,632","36,784","15,990",23.40%,6.88%,30.28%
03,ARAPAHOE,0140,LITTLETON 6,"15,007","2,330",534,"12,114","2,864",15.53%,3.56%,19.08%
03,ARAPAHOE,0170,DEER TRAIL 26J,165,86,8,71,94,52.12%,4.85%,56.97%
03,ARAPAHOE,0180,ADAMS-ARAPAHOE 28J,"40,009","24,569","3,321","11,920","27,890",61.41%,8.30%,69.71%
03,ARAPAHOE,0190,BYERS 32J,"2,099",215,69,"1,815",284,10.24%,3.29%,13.53%
03,ARAPAHOE,TOTAL,,"114,117","42,136","7,890","63,824","50,026",36.92%,6.91%,43.84%
04,ARCHULETA,0220,ARCHULETA COUNTY 50 JT,"1,326",537,158,629,695,40.50%,11.92%,52.41%
04,ARCHULETA,TOTAL,,"1,326",537,158,629,695,40.50%,11.92%,52.41%
05,BACA,0230,WALSH RE-1,134,49,23,62,72,36.57%,17.16%,53.73%
05,BACA,0240,PRITCHETT RE-3,36,18,1,17,19,50.00%,2.78%,52.78%
05,BACA,0250,SPRINGFIELD RE-4,262,128,49,85,177,48.85%,18.70%,67.56%
05,BACA,0260,VILAS RE-5,96,56,16,24,72,58.33%,16.67%,75.00%
05,BACA,0270,CAMPO RE-6,41,25,7,8,32,60.98%,17.07%,78.05%
05,BACA,TOTAL,,569,276,96,196,372,48.51%,16.87%,65.38%
06,BENT,0290,LAS ANIMAS RE-1,463,310,56,96,366,66.95%,12.10%,79.05%
06,BENT,0310,MC CLAVE RE-2,257,136,22,99,158,52.92%,8.56%,61.48%
06,BENT,TOTAL,,720,446,78,195,524,61.94%,10.83%,72.78%
07,BOULDER,0470,ST VRAIN VALLEY RE 1J,"29,692","7,390","1,535","20,711","8,925",24.89%,5.17%,30.06%
07,BOULDER,0480,BOULDER VALLEY RE 2,"30,032","5,099",828,"24,014","5,927",16.98%,2.76%,19.74%
07,BOULDER,TOTAL,,"59,724","12,489","2,363","44,725","14,852",20.91%,3.96%,24.87%
08,CHAFFEE,0490,BUENA VISTA R-31,889,235,137,513,372,26.43%,15.41%,41.84%
08,CHAFFEE,0500,SALIDA R-32,"1,126",307,94,721,401,27.26%,8.35%,35.61%
08,CHAFFEE,TOTAL,,"2,015",542,231,"1,234",773,26.90%,11.46%,38.36%
09,CHEYENNE,0510,KIT CARSON R-1,108,31,12,65,43,28.70%,11.11%,39.81%
09,CHEYENNE,0520,CHEYENNE COUNTY RE-5,172,59,18,95,77,34.30%,10.47%,44.77%
09,CHEYENNE,TOTAL,,280,90,30,160,120,32.14%,10.71%,42.86%
10,CLEAR CREEK,0540,CLEAR CREEK RE-1,822,179,29,614,208,21.78%,3.53%,25.30%
10,CLEAR CREEK,TOTAL,,822,179,29,614,208,21.78%,3.53%,25.30%
11,CONEJOS,0550,NORTH CONEJOS RE-1J,964,463,175,326,638,48.03%,18.15%,66.18%
11,CONEJOS,0560,SANFORD 6J,364,158,46,160,204,43.41%,12.64%,56.04%
11,CONEJOS,0580,SOUTH CONEJOS RE-10,218,162,13,43,175,74.31%,5.96%,80.28%
11,CONEJOS,TOTAL,,"1,546",783,234,529,"1,017",50.65%,15.14%,65.78%
12,COSTILLA,0640,CENTENNIAL R-1,205,171,10,24,181,83.41%,4.88%,88.29%
12,COSTILLA,0740,SIERRA GRANDE R-30,254,162,45,47,207,63.78%,17.72%,81.50%
12,COSTILLA,TOTAL,,459,333,55,71,388,72.55%,11.98%,84.53%
13,CROWLEY,0770,CROWLEY COUNTY RE-1-J,437,257,51,129,308,58.81%,11.67%,70.48%
13,CROWLEY,TOTAL,,437,257,51,129,308,58.81%,11.67%,70.48%
14,CUSTER,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,365,134,44,180,178,36.71%,12.05%,48.77%
14,CUSTER,TOTAL,,365,134,44,180,178,36.71%,12.05%,48.77%
15,DELTA,0870,DELTA COUNTY 50(J),"4,787","2,001",510,"2,261","2,511",41.80%,10.65%,52.45%
15,DELTA,TOTAL,,"4,787","2,001",510,"2,261","2,511",41.80%,10.65%,52.45%
16,DENVER,0880,DENVER COUNTY 1,"83,891","52,044","6,958","24,480","59,002",62.04%,8.29%,70.33%
16,DENVER,TOTAL,,"83,891","52,044","6,958","24,480","59,002",62.04%,8.29%,70.33%
17,DOLORES,0890,DOLORES COUNTY RE NO.2,250,85,43,122,128,34.00%,17.20%,51.20%
17,DOLORES,TOTAL,,250,85,43,122,128,34.00%,17.20%,51.20%
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,"64,960","5,564","1,762","57,487","7,326",8.57%,2.71%,11.28%
18,DOUGLAS,TOTAL,,"64,960","5,564","1,762","57,487","7,326",8.57%,2.71%,11.28%
19,EAGLE,0910,EAGLE COUNTY RE 50,"6,464","1,996",683,"3,778","2,679",30.88%,10.57%,41.44%
19,EAGLE,TOTAL,,"6,464","1,996",683,"3,778","2,679",30.88%,10.57%,41.44%
20,ELBERT,0920,ELIZABETH C-1,"2,429",310,125,"1,992",435,12.76%,5.15%,17.91%
