COUNTY CODE,COUNTY NAME,DISTRICT CODE,DISTRICT NAME,K-12 COUNT,FREE LUNCH,REDUCED LUNCH,NOT ELIGIBLE,FREE AND REDUCED,% FREE,% REDUCED,% FREE AND REDUCED
01,ADAMS,0010,MAPLETON 1,"8,297","4,156","1,043","3,068","5,199",50.10%,12.60%,62.70%
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,"38,205","12,044","2,962","23,066","15,006",31.50%,7.80%,39.30%
01,ADAMS,0030,ADAMS COUNTY 14,"7,003","5,267",716,969,"5,983",75.20%,10.20%,85.40%
01,ADAMS,0040,SCHOOL DISTRICT 27J,"16,532","4,794","1,210","10,427","6,004",29.00%,7.30%,36.30%
01,ADAMS,0050,BENNETT 29J,"1,036",240,74,720,314,23.20%,7.10%,30.30%
01,ADAMS,0060,STRASBURG 31J,960,176,42,740,218,18.30%,4.40%,22.70%
01,ADAMS,0070,WESTMINSTER 50,"8,977","6,532",938,"1,462","7,470",72.80%,10.40%,83.20%
01,ADAMS,TOTAL,,"81,011","33,210","6,985","40,452","40,195",41.00%,8.60%,49.60%
02,ALAMOSA,0100,ALAMOSA RE-11J,"2,237","1,201",244,781,"1,445",53.70%,10.90%,64.60%
02,ALAMOSA,0110,SANGRE DE CRISTO RE-22J,291,122,41,128,163,41.90%,14.10%,56.00%
02,ALAMOSA,TOTAL,,"2,528","1,323",285,909,"1,608",52.30%,11.30%,63.60%
03,ARAPAHOE,0120,ENGLEWOOD 1,"2,640","1,341",200,"1,087","1,541",50.80%,7.60%,58.40%
03,ARAPAHOE,0123,SHERIDAN 2,"1,377","1,141",99,126,"1,240",82.90%,7.20%,90.10%
03,ARAPAHOE,0130,CHERRY CREEK 5,"52,919","12,116","3,530","37,215","15,646",22.90%,6.70%,29.60%
03,ARAPAHOE,0140,LITTLETON 6,"15,096","2,215",508,"12,347","2,723",14.70%,3.40%,18.00%
03,ARAPAHOE,0170,DEER TRAIL 26J,167,69,11,87,80,41.30%,6.60%,47.90%
03,ARAPAHOE,0180,ADAMS-ARAPAHOE 28J,"40,429","23,394","3,301","13,470","26,695",57.90%,8.20%,66.00%
03,ARAPAHOE,0190,BYERS 32J,"2,994","1,030",213,"1,726","1,243",34.40%,7.10%,41.50%
03,ARAPAHOE,TOTAL,,"115,622","41,306","7,862","66,058","49,168",35.70%,6.80%,42.50%
04,ARCHULETA,0220,ARCHULETA COUNTY 50 JT,"1,372",574,138,660,712,41.80%,10.10%,51.90%
04,ARCHULETA,TOTAL,,"1,372",574,138,660,712,41.80%,10.10%,51.90%
05,BACA,0230,WALSH RE-1,142,60,24,58,84,42.30%,16.90%,59.20%
05,BACA,0240,PRITCHETT RE-3,47,19,8,20,27,40.40%,17.00%,57.40%
05,BACA,0250,SPRINGFIELD RE-4,260,130,48,82,178,50.00%,18.50%,68.50%
05,BACA,0260,VILAS RE-5,51,26,14,11,40,51.00%,27.50%,78.40%
05,BACA,0270,CAMPO RE-6,31,13,9,9,22,41.90%,29.00%,71.00%
05,BACA,TOTAL,,531,248,103,180,351,46.70%,19.40%,66.10%
06,BENT,0290,LAS ANIMAS RE-1,497,327,67,101,394,65.80%,13.50%,79.30%
06,BENT,0310,MC CLAVE RE-2,239,97,30,112,127,40.60%,12.60%,53.10%
06,BENT,TOTAL,,736,424,97,213,521,57.60%,13.20%,70.80%
07,BOULDER,0470,ST VRAIN VALLEY RE 1J,"30,379","7,805","1,878","20,640","9,683",25.70%,6.20%,31.90%
07,BOULDER,0480,BOULDER VALLEY RE 2,"30,331","5,367","1,204","23,660","6,571",17.70%,4.00%,21.70%
07,BOULDER,TOTAL,,"60,710","13,172","3,082","44,300","16,254",21.70%,5.10%,26.80%
