County Code,County Name,Organization Code,Orgnazation Name,Total FTE,Average Salary
01,ADAMS,0010,MAPLETON 1,373.04,"52,969"
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,"1,980.15","59,127"
01,ADAMS,0030,ADAMS COUNTY 14,379.65,"53,825"
01,ADAMS,0040,SCHOOL DISTRICT 27J,829.04,"48,890"
01,ADAMS,0050,BENNETT 29J,56.89,"38,758"
01,ADAMS,0060,STRASBURG 31J,57.07,"43,005"
01,ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,496.46,"58,286"
02,ALAMOSA,0100,ALAMOSA RE-11J,127.52,"47,666"
02,ALAMOSA,0110,SANGRE DE CRISTO RE-22J,24.05,"38,786"
03,ARAPAHOE,0120,ENGLEWOOD 1,180.79,"53,674"
03,ARAPAHOE,0123,SHERIDAN 2,101.98,"52,164"
03,ARAPAHOE,0130,CHERRY CREEK 5,"3,077.08","69,110"
03,ARAPAHOE,0140,LITTLETON 6,839.54,"64,917"
03,ARAPAHOE,0170,DEER TRAIL 26J,18.36,"41,396"
03,ARAPAHOE,0180,ADAMS-ARAPAHOE 28J,"2,281.04","54,406"
03,ARAPAHOE,0190,BYERS 32J,73.91,"42,803"
04,ARCHULETA,0220,ARCHULETA COUNTY 50 JT,88.52,"43,670"
05,BACA,0230,WALSH RE-1,16.25,"38,258"
05,BACA,0240,PRITCHETT RE-3,7.50,"34,367"
05,BACA,0250,SPRINGFIELD RE-4,25.71,"34,799"
05,BACA,0260,VILAS RE-5,6.38,"30,838"
05,BACA,0270,CAMPO RE-6,9.69,"34,200"
06,BENT,0290,LAS ANIMAS RE-1,40.04,"36,727"
06,BENT,0310,MC CLAVE RE-2,20.73,"36,825"
07,BOULDER,0470,ST VRAIN VALLEY RE 1J,"1,774.78","53,539"
07,BOULDER,0480,BOULDER VALLEY RE 2,"1,696.82","72,951"
08,CHAFFEE,0490,BUENA VISTA R-31,74.68,"42,273"
08,CHAFFEE,0500,SALIDA R-32,89.46,"41,189"
09,CHEYENNE,0510,KIT CARSON R-1,16.44,"39,590"
09,CHEYENNE,0520,CHEYENNE COUNTY RE-5,18.77,"38,891"
10,CLEAR CREEK,0540,CLEAR CREEK RE-1,62.38,"40,674"
11,CONEJOS,0550,NORTH CONEJOS RE-1J,71.61,"42,267"
11,CONEJOS,0560,SANFORD 6J,26.25,"41,284"
11,CONEJOS,0580,SOUTH CONEJOS RE-10,20.50,"38,814"
12,COSTILLA,0640,CENTENNIAL R-1,17.75,"38,461"
12,COSTILLA,0740,SIERRA GRANDE R-30,22.51,"35,771"
13,CROWLEY,0770,CROWLEY COUNTY RE-1-J,31.44,"35,481"
14,CUSTER,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,28.42,"38,178"
15,DELTA,0870,DELTA COUNTY 50(J),275.88,"42,162"
16,DENVER,0880,DENVER COUNTY 1,"6,011.34","50,701"
17,DOLORES,0890,DOLORES COUNTY RE NO.2,21.53,"43,193"
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,"3,424.69","52,044"
19,EAGLE,0910,EAGLE COUNTY RE 50,451.04,"48,036"
20,ELBERT,0920,ELIZABETH C-1,146.97,"39,258"
20,ELBERT,0930,KIOWA C-2,20.40,"35,138"
20,ELBERT,0940,BIG SANDY 100J,25.22,"41,006"
20,ELBERT,0950,ELBERT 200,21.61,"35,356"
20,ELBERT,0960,AGATE 300,2.41,"29,748"
21,EL PASO,0970,CALHAN RJ-1,28.22,"40,291"
21,EL PASO,0980,HARRISON 2,746.62,"42,560"
21,EL PASO,0990,WIDEFIELD 3,528.37,"44,694"
21,EL PASO,1000,FOUNTAIN 8,495.31,"48,098"
21,EL PASO,1010,COLORADO SPRINGS 11,"1,655.58","48,305"
21,EL PASO,1020,CHEYENNE MOUNTAIN 12,353.02,"44,458"
21,EL PASO,1030,MANITOU SPRINGS 14,103.40,"43,985"
21,EL PASO,1040,ACADEMY 20,"1,498.12","48,066"
21,EL PASO,1050,ELLICOTT 22,73.73,"38,782"
21,EL PASO,1060,PEYTON 23 JT,47.68,"37,194"
21,EL PASO,1070,HANOVER 28,18.00,"39,333"
21,EL PASO,1080,LEWIS-PALMER 38,346.59,"45,956"
21,EL PASO,1110,FALCON 49,"1,037.85","42,567"
21,EL PASO,1120,EDISON 54 JT,13.93,"36,579"
21,EL PASO,1130,MIAMI/YODER 60 JT,21.94,"37,716"
22,FREMONT,1140,CANON CITY RE-1,228.23,"46,110"
22,FREMONT,1150,FREMONT RE-2,90.94,"40,600"
22,FREMONT,1160,COTOPAXI RE-3,19.68,"38,880"
23,GARFIELD,1180,ROARING FORK RE-1,374.46,"49,967"
23,GARFIELD,1195,GARFIELD RE-2,279.41,"44,013"
23,GARFIELD,1220,GARFIELD 16,74.34,"46,729"
24,GILPIN,1330,GILPIN COUNTY RE-1,35.22,"44,529"
25,GRAND,1340,WEST GRAND 1-JT,36.99,"41,083"
25,GRAND,1350,EAST GRAND 2,91.42,"47,391"
26,GUNNISON,1360,GUNNISON WATERSHED RE1J,131.67,"45,735"
27,HINSDALE,1380,HINSDALE COUNTY RE 1,11.06,"45,141"
28,HUERFANO,1390,HUERFANO RE-1,36.82,"36,781"
28,HUERFANO,1400,LA VETA RE-2,20.65,"40,460"
29,JACKSON,1410,NORTH PARK R-1 ,19.53,"43,645"
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,"4,734.32","55,435"
31,KIOWA,1430,EADS RE-1,17.32,"36,344"
31,KIOWA,1440,PLAINVIEW RE-2,8.25,"32,273"
32,KIT CARSON,1450,ARRIBA-FLAGLER C-20,17.82,"37,737"
32,KIT CARSON,1460,HI-PLAINS R-23,16.95,"35,221"
32,KIT CARSON,1480,STRATTON R-4,18.65,"33,637"
32,KIT CARSON,1490,BETHUNE R-5,13.26,"41,100"
32,KIT CARSON,1500,BURLINGTON RE-6J,51.12,"34,505"
33,LAKE,1510,LAKE COUNTY R-1,58.19,"39,859"
34,LA PLATA,1520,DURANGO 9-R,354.46,"46,518"
34,LA PLATA,1530,BAYFIELD 10 JT-R,94.53,"46,574"
34,LA PLATA,1540,IGNACIO 11 JT,69.54,"41,236"
35,LARIMER,1550,POUDRE R-1,"1,738.43","53,108"
35,LARIMER,1560,THOMPSON R2-J,901.41,"49,061"
35,LARIMER,1570,ESTES PARK R-3,78.33,"47,884"
36,LAS ANIMAS,1580,TRINIDAD 1,65.01,"45,184"
36,LAS ANIMAS,1590,PRIMERO REORGANIZED 2,20.25,"40,648"
36,LAS ANIMAS,1600,HOEHNE REORGANIZED 3,16.25,"53,186"
36,LAS ANIMAS,1620,AGUILAR REORGANIZED 6,7.55,"55,100"
36,LAS ANIMAS,1750,BRANSON REORGANIZED 82,28.20,"38,642"
36,LAS ANIMAS,1760,KIM REORGANIZED 88,8.52,"30,497"
37,LINCOLN,1780,GENOA-HUGO C113,18.25,"37,477"
37,LINCOLN,1790,LIMON RE-4J,33.95,"35,809"
37,LINCOLN,1810,KARVAL RE-23,6.52,"37,702"
38,LOGAN,1828,VALLEY RE-1,139.50,"38,296"
38,LOGAN,1850,FRENCHMAN RE-3,19.56,"40,386"
38,LOGAN,1860,BUFFALO RE-4J,22.59,"44,356"
38,LOGAN,1870,PLATEAU RE-5,17.35,"38,682"
39,MESA,1980,DE BEQUE 49JT,17.39,"44,012"
39,MESA,1990,PLATEAU VALLEY 50,28.23,"42,692"
39,MESA,2000,MESA COUNTY VALLEY 51,"1,284.54","47,919"
40,MINERAL,2010,CREEDE SCHOOL DISTRICT,11.00,"42,865"
41,MOFFAT,2020,MOFFAT COUNTY RE:NO 1,130.03,"46,327"
42,MONTEZUMA,2035,MONTEZUMA-CORTEZ RE-1,169.00,"37,923"
42,MONTEZUMA,2055,DOLORES RE-4A,52.38,"40,010"
42,MONTEZUMA,2070,MANCOS RE-6,32.55,"37,617"
43,MONTROSE,2180,MONTROSE COUNTY RE-1J,344.50,"46,275"
43,MONTROSE,2190,WEST END RE-2,20.61,"39,517"
44,MORGAN,2395,BRUSH RE-2(J),94.14,"38,213"
44,MORGAN,2405,FORT MORGAN RE-3,196.40,"40,573"
44,MORGAN,2505,WELDON VALLEY RE-20(J),18.00,"35,372"
44,MORGAN,2515,WIGGINS RE-50(J),34.25,"40,788"
45,OTERO,2520,EAST OTERO R-1,80.44,"37,446"
45,OTERO,2530,ROCKY FORD R-2,59.25,"36,408"
45,OTERO,2535,MANZANOLA 3J,16.46,"32,321"
45,OTERO,2540,FOWLER R-4J,33.95,"37,784"
45,OTERO,2560,CHERAW 31,17.63,"38,597"
45,OTERO,2570,SWINK 33,26.74,"38,090"
46,OURAY,2580,OURAY R-1,24.76,"47,467"
46,OURAY,2590,RIDGWAY R-2,28.94,"43,070"
47,PARK,2600,PLATTE CANYON 1,62.07,"44,018"
47,PARK,2610,PARK COUNTY RE-2,46.30,"39,893"
48,PHILLIPS,2620,HOLYOKE RE-1J,47.05,"38,724"
48,PHILLIPS,2630,HAXTUN RE-2J,24.60,"39,904"
49,PITKIN,2640,ASPEN 1,138.86,"58,287"
50,PROWERS,2650,GRANADA RE-1,18.07,"39,764"
50,PROWERS,2660,LAMAR RE-2,105.51,"40,687"
50,PROWERS,2670,HOLLY RE-3,22.25,"36,385"
50,PROWERS,2680,WILEY RE-13 JT,22.24,"35,839"
51,PUEBLO,2690,PUEBLO CITY 60,"1,010.49","47,260"
51,PUEBLO,2700,PUEBLO COUNTY 70,484.95,"47,696"
52,RIO BLANCO,2710,MEEKER RE1,40.19,"49,066"
52,RIO BLANCO,2720,RANGELY RE-4,33.71,"43,895"
53,RIO GRANDE,2730,DEL NORTE C-7,35.09,"37,460"
53,RIO GRANDE,2740,MONTE VISTA C-8,74.97,"40,566"
53,RIO GRANDE,2750,SARGENT RE-33J,25.15,"40,714"
54,ROUTT,2760,HAYDEN RE-1,34.83,"52,753"
54,ROUTT,2770,STEAMBOAT SPRINGS RE-2,164.67,"53,803"
54,ROUTT,2780,SOUTH ROUTT RE 3,30.22,"40,629"
55,SAGUACHE,2790,MOUNTAIN VALLEY RE 1,15.13,"32,776"
55,SAGUACHE,2800,MOFFAT 2,20.46,"36,576"
55,SAGUACHE,2810,CENTER 26 JT,45.46,"37,024"
56,SAN JUAN,2820,SILVERTON 1,10.91,"45,589"
57,SAN MIGUEL,2830,TELLURIDE R-1,76.60,"56,703"
57,SAN MIGUEL,2840,NORWOOD R-2J,20.50,"43,609"
58,SEDGWICK,2862,JULESBURG RE-1,36.01,"42,056"
58,SEDGWICK,2865,REVERE SCHOOL DISTRICT,16.61,"34,797"
59,SUMMIT,3000,SUMMIT RE-1,248.92,"55,040"
60,TELLER,3010,CRIPPLE CREEK-VICTOR RE-1,29.91,"38,595"
60,TELLER,3020,WOODLAND PARK RE-2,139.98,"45,295"
61,WASHINGTON,3030,AKRON R-1,28.42,"38,851"
61,WASHINGTON,3040,ARICKAREE R-2,13.10,"34,697"
61,WASHINGTON,3050,OTIS R-3,19.26,"34,822"
61,WASHINGTON,3060,LONE STAR 101,14.74,"35,140"
61,WASHINGTON,3070,WOODLIN R-104,12.11,"26,649"
62,WELD,3080,WELD COUNTY RE-1,133.62,"45,615"
62,WELD,3085,EATON RE-2,116.31,"45,515"
62,WELD,3090,WELD COUNTY SCHOOL DISTRICT RE-3J,142.22,"42,779"
62,WELD,3100,WINDSOR RE-4,334.91,"48,273"
62,WELD,3110,JOHNSTOWN-MILLIKEN RE-5J,189.77,"52,097"
62,WELD,3120,GREELEY 6,"1,213.72","49,386"
62,WELD,3130,PLATTE VALLEY RE-7,80.50,"48,191"
62,WELD,3140,WELD COUNTY S/D RE-8,139.47,"47,093"
62,WELD,3145,AULT-HIGHLAND RE-9,59.16,"40,146"
62,WELD,3146,BRIGGSDALE RE-10,18.92,"38,415"
62,WELD,3147,PRAIRIE RE-11,18.29,"41,549"
62,WELD,3148,PAWNEE RE-12,13.62,"38,348"
63,YUMA,3200,YUMA 1,65.21,"42,629"
63,YUMA,3210,WRAY RD-2,49.28,"37,037"
63,YUMA,3220,IDALIA RJ-3,16.40,"40,156"
63,YUMA,3230,LIBERTY J-4,9.25,"36,845"
90,COLORADO BOCS,9025,EAST CENTRAL BOCES,7.33,"46,080"
90,COLORADO BOCS,9030,MOUNTAIN BOCES,9.77,"50,145"
90,COLORADO BOCS,9035,CENTENNIAL BOCES,13.23,"36,128"
90,COLORADO BOCS,9040,NORTHEAST BOCES,2.91,"55,495"
90,COLORADO BOCS,9045,PIKES PEAK BOCES,21.44,"41,904"
90,COLORADO BOCS,9050,SAN JUAN BOCES,4.76,"49,918"
90,COLORADO BOCS,9055,SAN LUIS VALLEY BOCES,11.58,"39,683"
90,COLORADO BOCS,9060,SOUTH CENTRAL BOCES,3.41,"37,507"
90,COLORADO BOCS,9075,SOUTHEASTERN BOCES,0.87,"40,438"
90,COLORADO BOCS,9095,NORTHWEST COLO BOCES,0.00,0
90,COLORADO BOCS,9120,ADAMS COUNTY BOCES,0.00,0
90,COLORADO BOCS,9125,RIO BLANCO BOCES,5.44,"47,545"
90,COLORADO BOCS,9130,EXPEDITIONARY BOCES,26.26,"44,252"
90,COLORADO BOCS,9135,GRAND VALLEY BOCES,0.00,0
90,COLORADO BOCS,9140,MT EVANS BOCES,0.00,0
90,COLORADO BOCS,9145,UNCOMPAHGRE BOCES,1.36,"53,681"
90,COLORADO BOCS,9150,SANTA FE TRAIL BOCES,2.82,"39,585"
90,COLORADO BOCS,9160,FRONT RANGE BOCES,0.00,0
90,COLORADO BOCS,9165,UTE PASS BOCES,1.52,"48,932"
90,COLORADO BOCS,9170,COLORADO DIGITAL BOCES,66.11,"40,151"
98,NONE,8001,CHARTER SCHOOL INSTITUTE,873.12,"41,051"
98,NONE,8102,"CMHI, PUEBLO",0.00,0
98,NONE,8103,DEPARTMENT OF CORRECTIONS,5.00,"64,418"
98,NONE,8104,DIVISION OF YOUTH SERVICES,35.60,"54,570"
98,NONE,9000,COLORADO SCHOOL FOR THE DEAF AND BLIND,36.31,"51,534"
STATE TOTALS,,,,"52,079.16","51,810"
