COUNTY CODE,COUNTY NAME,DISTRICT CODE,DISTRICT NAME,K-12 COUNT,NOT ELIGIBLE,FREE AND REDUCED,% FREE AND REDUCED
01,ADAMS,0010,MAPLETON 1,"8,380","3,455","4,910",58.6%
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,"37,688","22,768","14,920",39.6%
01,ADAMS,0030,ADAMS COUNTY 14,"6,876","1,029","5,847",85.0%
01,ADAMS,0040,SCHOOL DISTRICT 27J,"16,578","10,470","6,108",36.8%
01,ADAMS,0050,BENNETT 29J,"1,029",685,344,33.4%
01,ADAMS,0060,STRASBURG 31J,937,685,252,26.9%
01,ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,"9,048","1,604","7,440",82.2%
02,ALAMOSA,0100,ALAMOSA RE-11J,"2,339",864,"1,475",63.1%
02,ALAMOSA,0110,SANGRE DE CRISTO RE-22J,281,114,167,59.4%
03,ARAPAHOE,0120,ENGLEWOOD 1,"2,554",825,"1,729",67.7%
03,ARAPAHOE,0123,SHERIDAN 2,"1,355",126,"1,229",90.7%
03,ARAPAHOE,0130,CHERRY CREEK 5,"53,087","37,152","15,935",30.0%
03,ARAPAHOE,0140,LITTLETON 6,"14,859","12,086","2,773",18.7%
03,ARAPAHOE,0170,DEER TRAIL 26J,172,77,95,55.2%
03,ARAPAHOE,0180,ADAMS-ARAPAHOE 28J,"39,881","13,380","26,501",66.5%
03,ARAPAHOE,0190,BYERS 32J,"2,980","1,801","1,179",39.6%
04,ARCHULETA,0220,ARCHULETA COUNTY 50 JT,"1,568",846,722,46.0%
05,BACA,0230,WALSH RE-1,134,59,75,56.0%
05,BACA,0240,PRITCHETT RE-3,38,16,22,57.9%
05,BACA,0250,SPRINGFIELD RE-4,276,93,183,66.3%
05,BACA,0260,VILAS RE-5,39,N/A,N/A,N/A
05,BACA,0270,CAMPO RE-6,32,N/A,N/A,N/A
06,BENT,0290,LAS ANIMAS RE-1,"1,147",201,946,82.5%
06,BENT,0310,MC CLAVE RE-2,242,142,100,41.3%
07,BOULDER,0470,ST VRAIN VALLEY RE 1J,"30,761","21,110","9,651",31.4%
07,BOULDER,0480,BOULDER VALLEY RE 2,"30,271","24,023","6,248",20.6%
