County Code,County,Org. Code,Organization Name,F_American Indian or Alaskan Native,M_American Indian or Alaskan Native,F_Asian,M_Asian,F_Black or African American,M_Black or African American,F_Hispanic or Latino,M_Hispanic or Latino,F_White,M_White,F_Native Hawaiian or Other Pacific Islander,M_Native Hawaiian or Other Pacific Islander,F_Two or More Races,M_Two or More Races,F_Total Female Count,M_Total Male Count,PK-12 Total Count,F_Percent Female,M_Percent Male
01,ADAMS,0010,MAPLETON 1,32,29,86,78,100,95,"2,711","2,742","1,298","1,324",13,16,156,142,"4,396","4,426","8,822",49.8%,50.2%
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,109,113,971,"1,043",368,368,"7,340","7,917","9,289","10,223",23,21,522,511,"18,622","20,196","38,818",48.0%,52.0%
01,ADAMS,0030,ADAMS COUNTY 14,25,28,11,10,95,96,"2,972","3,261",411,460,3,3,47,45,"3,564","3,903","7,467",47.7%,52.3%
01,ADAMS,0040,SCHOOL DISTRICT 27J,35,40,228,252,148,175,"3,778","3,911","3,913","4,081",14,11,266,263,"8,382","8,733","17,115",49.0%,51.0%
01,ADAMS,0050,BENNETT 29J,1,7,0,3,4,7,127,112,358,427,0,1,22,20,512,577,"1,089",47.0%,53.0%
01,ADAMS,0060,STRASBURG 31J,6,6,6,3,5,7,73,79,364,412,3,2,0,6,457,515,972,47.0%,53.0%
01,ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,19,23,213,211,68,51,"3,633","3,774",668,801,6,9,83,79,"4,690","4,948","9,638",48.7%,51.3%
01,ADAMS,TOTALS, ,227,246,"1,515","1,600",788,799,"20,634","21,796","16,301","17,728",62,63,"1,096","1,066","40,623","43,298","83,921",48.4%,51.6%
02,ALAMOSA,0100,ALAMOSA RE-11J,14,14,12,7,14,14,760,755,338,365,0,3,22,21,"1,160","1,179","2,339",49.6%,50.4%
02,ALAMOSA,0110,SANGRE DE CRISTO RE-22J,3,7,1,0,4,0,38,38,88,114,0,0,2,2,136,161,297,45.8%,54.2%
02,ALAMOSA,TOTALS, ,17,21,13,7,18,14,798,793,426,479,0,3,24,23,"1,296","1,340","2,636",49.2%,50.8%
03,ARAPAHOE,0120,ENGLEWOOD 1,7,10,13,14,32,42,510,611,656,725,3,4,73,75,"1,294","1,481","2,775",46.6%,53.4%
03,ARAPAHOE,0123,SHERIDAN 2,9,2,18,11,22,34,577,603,106,92,1,2,19,15,752,759,"1,511",49.8%,50.2%
03,ARAPAHOE,0130,CHERRY CREEK 5,162,155,"2,329","2,373","2,919","3,189","5,178","5,534","13,954","15,249",84,58,"1,774","1,857","26,400","28,415","54,815",48.2%,51.8%
03,ARAPAHOE,0140,LITTLETON 6,25,37,287,201,88,102,"1,336","1,366","5,558","5,830",10,11,323,343,"7,627","7,890","15,517",49.2%,50.8%
