School Year,Organization Code,Orgnazation Name,Total FTE,Average Salary
2017-2018,0010,MAPLETON 1,358.47,"56,410"
2017-2018,0020,ADAMS 12 FIVE STAR SCHOOLS,"1,969.88","59,511"
2017-2018,0030,ADAMS COUNTY 14,376.35,"57,394"
2017-2018,0040,SCHOOL DISTRICT 27J,793.94,"49,488"
2017-2018,0050,BENNETT 29J,62.22,"39,148"
2017-2018,0060,STRASBURG 31J,60.97,"41,092"
2017-2018,0070,WESTMINSTER PUBLIC SCHOOLS,521.81,"58,976"
2017-2018,0100,ALAMOSA RE-11J,129.81,"48,106"
2017-2018,0110,SANGRE DE CRISTO RE-22J,26.21,"39,565"
2017-2018,0120,ENGLEWOOD 1,184.15,"53,225"
2017-2018,0123,SHERIDAN 2,99.87,"49,535"
2017-2018,0130,CHERRY CREEK 5,"3,110.23","71,711"
2017-2018,0140,LITTLETON 6,835.14,"66,399"
2017-2018,0170,DEER TRAIL 26J,17.85,"41,582"
2017-2018,0180,ADAMS-ARAPAHOE 28J,"2,154.03","54,742"
2017-2018,0190,BYERS 32J,80.64,"35,005"
2017-2018,0220,ARCHULETA COUNTY 50 JT,99.59,"42,690"
2017-2018,0230,WALSH RE-1,15.88,"38,349"
2017-2018,0240,PRITCHETT RE-3,7.62,"32,029"
2017-2018,0250,SPRINGFIELD RE-4,28.36,"34,781"
2017-2018,0260,VILAS RE-5,7.63,"31,159"
2017-2018,0270,CAMPO RE-6,8.94,"36,643"
2017-2018,0290,LAS ANIMAS RE-1,42.24,"37,128"
2017-2018,0310,MC CLAVE RE-2,20.73,"36,784"
2017-2018,0470,ST VRAIN VALLEY RE 1J,"1,783.45","55,320"
2017-2018,0480,BOULDER VALLEY RE 2,"1,716.89","75,220"
2017-2018,0490,BUENA VISTA R-31,73.94,"43,504"
2017-2018,0500,SALIDA R-32,92.22,"42,470"
2017-2018,0510,KIT CARSON R-1,15.06,"40,289"
2017-2018,0520,CHEYENNE COUNTY RE-5,17.25,"42,032"
2017-2018,0540,CLEAR CREEK RE-1,57.06,"42,694"
2017-2018,0550,NORTH CONEJOS RE-1J,70.70,"42,221"
2017-2018,0560,SANFORD 6J,25.35,"42,212"
2017-2018,0580,SOUTH CONEJOS RE-10,18.50,"40,631"
2017-2018,0640,CENTENNIAL R-1,20.31,"38,505"
2017-2018,0740,SIERRA GRANDE R-30,22.00,"38,889"
2017-2018,0770,CROWLEY COUNTY RE-1-J,31.17,"35,893"
2017-2018,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,25.65,"38,436"
2017-2018,0870,DELTA COUNTY 50(J),282.83,"44,401"
2017-2018,0880,DENVER COUNTY 1,"6,109.71","50,757"
2017-2018,0890,DOLORES COUNTY RE NO.2,19.46,"40,632"
2017-2018,0900,DOUGLAS COUNTY RE 1,"3,526.56","53,080"
