County Code,County Name,Distr Code,Distr Name,Sch Code,School Name,PK-12 Count,Teacher FTE,Pupil/ Teacher FTE Ratio
01,ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,677,31,21.84
01,ADAMS,0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,249,12,20.75
01,ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,226,12.375,18.26
01,ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,448,19,23.58
01,ADAMS,0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,483,26,18.58
01,ADAMS,0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,503,25.4895,19.73
01,ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,778,37.5,20.75
01,ADAMS,0010,MAPLETON 1,0504,WELBY COMMUNITY SCHOOL,253,16,15.81
01,ADAMS,0010,MAPLETON 1,0505,ACHIEVE ACADEMY,554,31.1474,17.79
01,ADAMS,0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,422,20,21.10
01,ADAMS,0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,374,25.5,14.67
01,ADAMS,0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,459,26.6,17.26
01,ADAMS,0010,MAPLETON 1,0695,BIG PICTURE COLLEGE AND CAREER ACADEMY,154,7.5,20.53
01,ADAMS,0010,MAPLETON 1,3590,GLOBAL INTERMEDIATE ACADEMY,249,13.075,19.04
01,ADAMS,0010,MAPLETON 1,3623,GLOBAL PRIMARY ACADEMY,246,12.25,20.08
01,ADAMS,0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,57,2.95,19.32
01,ADAMS,0010,MAPLETON 1,9036,VALLEY VIEW K-8,428,21.8106,19.62
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,471,22.7489,20.70
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,1350,68.85,19.61
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0059,MERIDIAN ELEMENTARY SCHOOL,783,37.2815,21.00
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0070,ADAMS12 FIVE STAR PRESCHOOL,269,3,89.67
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,343,28.053,12.23
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,584,29,20.14
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1388,CENTENNIAL ELEMENTARY SCHOOL,531,26,20.42
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL,956,49.3514,19.37
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,1307,66.195,19.74
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1878,CORONADO HILLS ELEMENTARY SCHOOL,566,32.5,17.42
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1914,COTTON CREEK ELEMENTARY SCHOOL,597,30,19.90
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1937,COYOTE RIDGE ELEMENTARY SCHOOL,545,26,20.96
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2361,EAGLEVIEW ELEMENTARY SCHOOL,575,28,20.54
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2410,TARVER ELEMENTARY SCHOOL,537,24.4,22.01
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2576,CHERRY DRIVE ELEMENTARY SCHOOL,341,16,21.31
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2578,SKYVIEW ELEMENTARY SCHOOL,483,24.05,20.08
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2580,HUNTERS GLEN ELEMENTARY SCHOOL,506,22.45,22.54
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2582,ROCKY MOUNTAIN ELEMENTARY SCHOOL,455,26.75,17.01
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2584,RIVERDALE ELEMENTARY SCHOOL,461,21,21.95
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2918,FEDERAL HEIGHTS ELEMENTARY SCHOOL,605,33,18.33
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4000,HILLCREST ELEMENTARY SCHOOL,485,29.3,16.55
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HIGH SCHOOL,2037,93.6276,21.76
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM OPTIONS K-8 SCHOOL,677,33.7489,20.06
