County Code,County,Org. Code,Organization Name,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latino,White,Native Hawaiian or Other Pacific Islander,Two or More Races,Total PK-12 Pupil Count,Total Minority Count,Percent Minority
01,ADAMS,0010,MAPLETON 1,56,163,189,"5,687","2,523",21,299,"8,938","6,415",71.8%
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,215,"2,074",736,"15,663","18,972",53,"1,157","38,870","19,898",51.2%
01,ADAMS,0030,ADAMS COUNTY 14,56,23,160,"6,270",790,7,94,"7,400","6,610",89.3%
01,ADAMS,0040,SCHOOL DISTRICT 27J,73,505,363,"8,110","8,262",27,543,"17,883","9,621",53.8%
01,ADAMS,0050,BENNETT 29J,6,0,11,293,770,1,45,"1,126",356,31.6%
01,ADAMS,0060,STRASBURG 31J,11,7,13,193,779,4,11,"1,018",239,23.5%
01,ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,49,393,137,"7,303","1,358",27,174,"9,441","8,083",85.6%
02,ALAMOSA,0100,ALAMOSA RE-11J,28,20,18,"1,531",688,1,50,"2,336","1,648",70.5%
02,ALAMOSA,0110,SANGRE DE CRISTO RE-22J,7,1,3,73,219,0,7,310,91,29.4%
03,ARAPAHOE,0120,ENGLEWOOD 1,24,33,71,"1,131","1,361",3,136,"2,759","1,398",50.7%
03,ARAPAHOE,0123,SHERIDAN 2,11,26,53,"1,107",167,1,37,"1,402","1,235",88.1%
03,ARAPAHOE,0130,CHERRY CREEK 5,311,"4,955","6,218","10,979","29,199",154,"3,841","55,657","26,458",47.5%
03,ARAPAHOE,0140,LITTLETON 6,53,476,203,"2,739","11,487",23,662,"15,643","4,156",26.6%
03,ARAPAHOE,0170,DEER TRAIL 26J,0,0,0,58,143,0,4,205,62,30.2%
03,ARAPAHOE,0180,ADAMS-ARAPAHOE 28J,339,"2,050","7,622","22,116","6,866",269,"1,658","40,920","34,054",83.2%
03,ARAPAHOE,0190,BYERS 32J,38,22,134,826,"1,715",6,131,"2,872","1,157",40.3%
04,ARCHULETA,0220,ARCHULETA COUNTY 50 JT,81,18,8,570,933,0,50,"1,660",727,43.8%
05,BACA,0230,WALSH RE-1,2,0,1,27,134,0,4,168,34,20.2%
05,BACA,0240,PRITCHETT RE-3,0,0,0,3,39,0,0,42,3,7.1%
05,BACA,0250,SPRINGFIELD RE-4,5,0,4,58,252,0,22,341,89,26.1%
05,BACA,0260,VILAS RE-5,0,0,0,12,33,0,0,45,12,26.7%
05,BACA,0270,CAMPO RE-6,1,0,0,0,35,0,5,41,6,14.6%
06,BENT,0290,LAS ANIMAS RE-1,8,4,39,"1,019",632,1,16,"1,719","1,087",63.2%
06,BENT,0310,MC CLAVE RE-2,1,0,2,0,248,0,5,256,8,3.1%
07,BOULDER,0470,ST VRAIN VALLEY RE 1J,112,"1,026",292,"9,629","20,534",56,772,"32,421","11,887",36.7%
07,BOULDER,0480,BOULDER VALLEY RE 2,96,"1,741",291,"5,853","21,555",34,"1,712","31,282","9,727",31.1%
08,CHAFFEE,0490,BUENA VISTA R-31,3,9,8,127,889,1,22,"1,059",170,16.1%
08,CHAFFEE,0500,SALIDA R-32,6,8,4,185,"1,001",0,51,"1,255",254,20.2%
09,CHEYENNE,0510,KIT CARSON R-1,0,1,0,21,84,0,3,109,25,22.9%
09,CHEYENNE,0520,CHEYENNE COUNTY RE-5,0,0,1,17,161,0,0,179,18,10.1%
10,CLEAR CREEK,0540,CLEAR CREEK RE-1,11,9,4,85,667,0,32,808,141,17.5%
11,CONEJOS,0550,NORTH CONEJOS RE-1J,4,0,7,559,448,0,10,"1,028",580,56.4%
11,CONEJOS,0560,SANFORD 6J,2,0,1,112,249,0,5,369,120,32.5%
11,CONEJOS,0580,SOUTH CONEJOS RE-10,0,0,0,174,7,0,0,181,174,96.1%
12,COSTILLA,0640,CENTENNIAL R-1,0,0,2,201,7,0,0,210,203,96.7%
12,COSTILLA,0740,SIERRA GRANDE R-30,2,0,3,217,61,1,4,288,227,78.8%
13,CROWLEY,0770,CROWLEY COUNTY RE-1-J,7,0,9,246,172,0,6,440,268,60.9%
14,CUSTER,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,4,0,7,9,367,0,10,397,30,7.6%
15,DELTA,0870,DELTA COUNTY 50(J),31,58,27,"1,149","3,657",4,132,"5,058","1,401",27.7%
16,DENVER,0880,DENVER COUNTY 1,581,"2,984","11,901","50,292","22,101",296,"3,639","91,794","69,693",75.9%
17,DOLORES,0890,DOLORES COUNTY RE NO.2,4,0,0,15,227,0,4,250,23,9.2%
