Organization Code,Orgnazation Name,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latino,White,Native Hawaiian or Other Pacific Islander,Two or More Races,Percent Minority,Year,% FREE AND REDUCED,K-12 COUNT,All Students Graduation Rate,All Students Completion Rate,Female Graduation Rate,Male Graduation Rate,Female Completion Rate,Male Completion Rate,Pupil/Teacher Ratio,T_Ind_F,T_Ind_M,T_Ind_T,T_As_F,T_As_M,T_As_T,T_Bl_F,T_Bl_M,T_Bl_T,T_Hi_F,T_Hi_M,T_Hi_T,T_Pac_F,T_Pac_M,T_Pac_T,T_Two_F,T_Two_M,T_Two_T,T_Whi_F,T_Whi_M,T_Whi_T,T_Total_Count,Total FTE,Average Salary
10,MAPLETON 1,56,163,189,5687,2523,21,299,0.718,17,0.61,8494,0.59,0.637,0.625,0.555,0.658,0.615,19.33588235,1,0,1,4,1,5,1,3,4,38,9,47,3,0,3,0,0,0,234,76,310,370,358.47,56410
20,ADAMS 12 FIVE STAR SCHOOLS,215,2074,736,15663,18972,53,1157,0.512,17,0.4,37752,0.836,0.843,0.889,0.784,0.896,0.791,20.84078431,3,1,4,23,6,29,7,2,9,118,37,155,0,1,1,13,6,19,1425,406,1831,2048,1969.88,59511
30,ADAMS COUNTY 14,56,23,160,6270,790,7,94,0.893,17,0.87,6817,0.656,0.672,0.702,0.613,0.718,0.628,20.09846154,3,0,3,6,1,7,7,3,10,51,23,74,2,1,3,0,0,0,228,74,302,399,376.35,57394
40,SCHOOL DISTRICT 27J,73,505,363,8110,8262,27,543,0.538,17,0.38,17210,0.774,0.795,0.833,0.724,0.853,0.746,24.75076923,3,2,5,12,3,15,2,2,4,0,0,0,4,0,4,1,1,2,605,183,788,818,793.94,49488
50,BENNETT 29J,6,0,11,293,770,1,45,0.316,17,0.3,1061,0.886,0.886,0.941,0.852,0.941,0.852,17.26333333,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,1,0,1,45,14,59,63,62.22,39148
60,STRASBURG 31J,11,7,13,193,779,4,11,0.235,17,0.25,941,0.856,0.856,0.851,0.86,0.851,0.86,13.105,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,46,14,60,61,60.97,41092
70,WESTMINSTER PUBLIC SCHOOLS,49,393,137,7303,1358,27,174,0.856,17,0.81,8770,0.578,0.609,0.628,0.528,0.652,0.565,18.52631579,0,0,0,6,3,9,4,4,8,58,18,76,0,0,0,7,2,9,316,102,418,520,521.81,58976
100,ALAMOSA RE-11J,28,20,18,1531,688,1,50,0.705,17,0.43,2336,0.754,0.768,0.784,0.719,0.784,0.75,25.9425,0,0,0,0,0,0,1,0,1,34,13,47,0,0,0,1,1,2,62,20,82,132,129.81,48106
110,SANGRE DE CRISTO RE-22J,7,1,3,73,219,0,7,0.294,17,0.58,296,0.9,0.9,0.8,0.933,0.8,0.933,11.79,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,19,4,23,27,26.21,39565
120,ENGLEWOOD 1,24,33,71,1131,1361,3,136,0.507,17,0.66,2529,0.511,0.567,0.556,0.469,0.607,0.531,20.39,0,0,0,0,1,1,0,0,0,6,3,9,0,0,0,0,0,0,135,45,180,190,184.15,53225
