Organization Code,Orgnazation Name,Student Pct Minority,Year,% FREE AND REDUCED,K-12 COUNT,All Students Graduation Rate,Female Graduation Rate,Male Graduation Rate,Pupil/Teacher Ratio,Teacher Pct Minority,Teacher Count,Total FTE,Average Salary
10,MAPLETON 1,0.718,17,0.61,8494,0.59,0.625,0.555,19.33588235294118,0.16216216216216217,370,358.47,56410.0
20,ADAMS 12 FIVE STAR SCHOOLS,0.512,17,0.4,37752,0.836,0.889,0.784,20.84078431372549,0.10595703125,2048,1969.88,59511.0
30,ADAMS COUNTY 14,0.893,17,0.87,6817,0.6559999999999999,0.7020000000000001,0.613,20.098461538461542,0.24310776942355894,399,376.35,57394.0
40,SCHOOL DISTRICT 27J,0.5379999999999999,17,0.38,17210,0.774,0.833,0.7240000000000001,24.75076923076923,0.03667481662591687,818,793.94,49488.0
50,BENNETT 29J,0.316,17,0.3,1061,0.8859999999999999,0.941,0.852,17.263333333333335,0.06349206349206349,63,62.22,39148.0
60,STRASBURG 31J,0.235,17,0.25,941,0.856,0.851,0.86,13.104999999999999,0.016393442622950838,61,60.97,41092.0
70,WESTMINSTER PUBLIC SCHOOLS,0.856,17,0.81,8770,0.578,0.628,0.528,18.52631578947369,0.19615384615384612,520,521.81,58976.0
100,ALAMOSA RE-11J,0.705,17,0.43,2336,0.754,0.784,0.7190000000000001,25.942500000000003,0.3787878787878788,132,129.81,48106.0
110,SANGRE DE CRISTO RE-22J,0.294,17,0.58,296,0.9,0.8,0.9329999999999999,11.79,0.14814814814814814,27,26.21,39565.0
120,ENGLEWOOD 1,0.507,17,0.66,2529,0.511,0.556,0.469,20.39,0.052631578947368474,190,184.15,53225.0
123,SHERIDAN 2,0.8809999999999999,17,0.9,1258,0.727,0.867,0.603,14.626,0.11650485436893199,103,99.87,49535.0
130,CHERRY CREEK 5,0.475,17,0.3,53956,0.9,0.924,0.877,21.355757575757575,0.12081155856132797,3253,3110.23,71711.0
140,LITTLETON 6,0.266,17,0.17,14966,0.8959999999999999,0.919,0.872,23.774347826086956,0.058004640371229654,862,835.14,66399.0
170,DEER TRAIL 26J,0.302,17,0.51,181,0.857,0.889,0.8,11.475,0.0,21,17.85,41582.0
180,ADAMS-ARAPAHOE 28J,0.8320000000000001,17,0.69,39060,0.6759999999999999,0.706,0.648,21.773548387096767,0.1735952489721334,2189,2154.03,54742.0
190,BYERS 32J,0.40299999999999997,17,0.43,2829,0.593,0.602,0.584,54.11142857142857,0.05714285714285716,70,80.64,35005.0
