Organization Code,Orgnazation Name,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latino,White,Native Hawaiian or Other Pacific Islander,Two or More Races,Percent Minority,Year,% FREE AND REDUCED,K-12 COUNT,All Students Graduation Rate,All Students Completion Rate,Female Graduation Rate,Male Graduation Rate,Female Completion Rate,Male Completion Rate,Pupil/Teacher Ratio,T_Ind_F,T_Ind_M,T_Ind_T,T_As_F,T_As_M,T_As_T,T_Bl_F,T_Bl_M,T_Bl_T,T_Hi_F,T_Hi_M,T_Hi_T,T_Pac_F,T_Pac_M,T_Pac_T,T_Two_F,T_Two_M,T_Two_T,T_Whi_F,T_Whi_M,T_Whi_T,T_Total_Count,Total FTE,Average Salary,ap_American Indian or Alaska Native Count,ap_Asian Count,ap_Black or African American Count,ap_Hispanic or Latino Count,ap_White Count,ap_Native Hawaiian or Other Pacific Islander Count,ap_Two Or More Races Count,ap_Male Count,ap_Female Count,ap_Total Student Count
10,MAPLETON 1,61,164,195,5453,2622,29,298,0.01,16,0.586,8380,0.646,0.687,0.714,0.573,0.756,0.612,31.94611111,2,0,2,4,2,6,2,4,6,37,8,45,4,0,4,0,0,0,243,76,319,382,373.04,52969,0,0,0,0,0,0,0,0,0,0
20,ADAMS 12 FIVE STAR SCHOOLS,222,2014,736,15257,19512,44,1033,0.01,16,0.396,37688,0.806,0.816,0.847,0.769,0.855,0.78,21.54461538,3,1,4,23,5,28,8,1,9,123,37,160,1,0,1,10,8,18,"1,428",411,"1,839","2,059",1980.15,59127,9,362,63,734,2233,7,86,1532,1962,3494
30,ADAMS COUNTY 14,53,21,191,6233,871,6,92,0.01,16,0.85,6876,0.658,0.673,0.732,0.59,0.743,0.608,20.57230769,4,0,4,8,1,9,8,2,10,42,21,63,1,1,2,0,0,0,223,74,297,385,379.65,53825,0,0,1,236,24,0,0,94,167,261
50,BENNETT 29J,8,3,11,239,785,1,42,0.01,16,0.334,1029,0.771,0.786,0.806,0.735,0.806,0.765,13.4775,0,0,0,0,2,2,1,0,1,1,0,1,0,0,0,1,0,1,37,14,51,56,56.89,38758,0,0,0,0,0,0,0,0,0,0
60,STRASBURG 31J,12,9,12,152,776,5,6,0.01,16,0.269,937,0.831,0.831,0.87,0.791,0.87,0.791,15.17,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,47,12,59,60,57.07,43005,4,2,7,61,416,0,1,231,260,491
100,ALAMOSA RE-11J,28,19,28,1515,703,3,43,0.01,16,0.631,2339,0.796,0.796,0.849,0.721,0.849,0.721,26.89,0,0,0,0,0,0,0,0,0,35,13,48,0,0,0,1,1,2,58,22,80,130,127.52,47666,1,12,1,109,111,0,2,98,138,236
110,SANGRE DE CRISTO RE-22J,10,1,4,76,202,0,4,0.01,16,0.594,281,1,1,1,1,1,1,12.5,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,16,6,22,25,24.05,38786,0,0,0,3,4,0,0,4,3,7
120,ENGLEWOOD 1,17,27,74,1121,1381,7,148,0.01,16,0.677,2554,0.538,0.556,0.632,0.46,0.64,0.487,20.95888889,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,143,36,179,185,180.79,53674,2,4,14,64,100,0,23,95,112,207
123,SHERIDAN 2,11,29,56,1180,198,3,34,0.01,16,0.907,1355,0.691,0.718,0.838,0.616,0.838,0.658,16.242,1,0,1,0,0,0,1,0,1,7,1,8,0,0,0,0,0,0,79,17,96,106,101.98,52164,0,0,0,0,0,0,0,0,0,0
130,CHERRY CREEK 5,317,4702,6108,10712,29203,142,3631,0.01,16,0.3,53087,0.881,0.891,0.914,0.848,0.922,0.859,20.78584615,7,0,7,39,9,48,50,27,77,138,49,187,1,0,1,49,18,67,"2,143",687,"2,830","3,217",3077.08,69110,38,1669,835,1521,5818,40,632,4771,5782,10553
